frame_time,left_hip,left_knee,left_ankle,left_shoulder,left_elbow,left_wrist,right_hip,right_knee,right_ankle,right_shoulder,right_elbow,right_wrist
16:34:01.889248,"[0.5142809748649597, 0.3616843819618225, -0.02003416046500206]","[0.5124806761741638, 0.587748646736145, -0.004025011323392391]","[0.5180055499076843, 0.7915186882019043, 0.11141578108072281]","[0.5307890176773071, 0.08549284934997559, -0.12978225946426392]","[0.5396649837493896, 0.23084533214569092, -0.08473218977451324]","[0.5447791218757629, 0.358203262090683, -0.1420658677816391]","[0.4734904170036316, 0.3670882284641266, 0.02011135034263134]","[0.46310919523239136, 0.5843315720558167, 0.027597544714808464]","[0.4731661379337311, 0.7897629141807556, 0.1508580595254898]","[0.43804100155830383, 0.08907198905944824, -0.10605379194021225]","[0.43397101759910583, 0.23552995920181274, -0.06692822277545929]","[0.425015389919281, 0.34688469767570496, -0.12914545834064484]"
16:34:01.968870,"[0.4802066385746002, 0.3614062964916229, -0.023854248225688934]","[0.4694884419441223, 0.5868496298789978, -0.022347817197442055]","[0.4633331000804901, 0.791459858417511, 0.014432619325816631]","[0.44206759333610535, 0.08378855884075165, -0.02821081131696701]","[0.4249971807003021, 0.22742964327335358, -0.023478185757994652]","[0.43048781156539917, 0.3500972092151642, 0.013300759717822075]","[0.5058658719062805, 0.36385267972946167, 0.023888664320111275]","[0.5090859532356262, 0.5842245221138, 0.06081856042146683]","[0.5177760720252991, 0.7902267575263977, 0.11962927877902985]","[0.5343204736709595, 0.08907449245452881, 0.004269487224519253]","[0.5484814047813416, 0.2355296015739441, 0.007810183335095644]","[0.5454550981521606, 0.3654540479183197, 0.0364372655749321]"
16:34:02.032790,"[0.47712233662605286, 0.3677545189857483, -0.028448084369301796]","[0.46935129165649414, 0.5864303112030029, -0.02203550562262535]","[0.4645828604698181, 0.7911554574966431, 0.031041806563735008]","[0.4389477074146271, 0.08266936987638474, -0.07418957352638245]","[0.4262678027153015, 0.22488468885421753, -0.03278879076242447]","[0.4317028224468231, 0.3447303771972656, -0.06444892287254333]","[0.5090696811676025, 0.3707025647163391, 0.028521111235022545]","[0.5042301416397095, 0.5844472050666809, 0.0629347413778305]","[0.5187777280807495, 0.7902116775512695, 0.12721656262874603]","[0.5186014175415039, 0.08937466889619827, -0.04476233944296837]","[0.5223881006240845, 0.2570860981941223, -0.022868892177939415]","[0.5470030307769775, 0.3722187280654907, -0.04962918907403946]"
16:34:02.092906,"[0.4792555570602417, 0.37250980734825134, -0.03132519870996475]","[0.47034981846809387, 0.5862443447113037, -0.020201610401272774]","[0.471517950296402, 0.8044206500053406, 0.04009231552481651]","[0.43874678015708923, 0.08214219659566879, -0.0842481330037117]","[0.42775431275367737, 0.22300037741661072, -0.04659176245331764]","[0.4416400194168091, 0.3321363627910614, -0.08317437767982483]","[0.5065110921859741, 0.376273512840271, 0.031428560614585876]","[0.4974997341632843, 0.5848584175109863, 0.062375880777835846]","[0.5185233354568481, 0.7901873588562012, 0.13137225806713104]","[0.5111222267150879, 0.08953473716974258, -0.04896661266684532]","[0.5141199827194214, 0.2594650685787201, -0.03198862075805664]","[0.5403446555137634, 0.3692289888858795, -0.059225477278232574]"
16:34:02.153653,"[0.48532944917678833, 0.37395137548446655, -0.030494792386889458]","[0.47838589549064636, 0.5862919688224792, -0.01202232576906681]","[0.4805106818675995, 0.8053284287452698, 0.05295136943459511]","[0.46429315209388733, 0.08194119483232498, -0.10938989371061325]","[0.44355496764183044, 0.2264520674943924, -0.07642894238233566]","[0.4683241546154022, 0.3417413830757141, -0.08683403581380844]","[0.5006914734840393, 0.3761219382286072, 0.030594075098633766]","[0.49208560585975647, 0.5853334665298462, 0.05654651299118996]","[0.5124078392982483, 0.7903876900672913, 0.13742581009864807]","[0.46107202768325806, 0.08941449970006943, -0.07048336416482925]","[0.49680471420288086, 0.2566525936126709, -0.034351035952568054]","[0.507208526134491, 0.35255932807922363, -0.07058635354042053]"
16:34:02.212841,"[0.4911254942417145, 0.37297186255455017, -0.02988416515290737]","[0.4807753264904022, 0.5863761901855469, -0.006239425856620073]","[0.49595314264297485, 0.8044373393058777, 0.09226436913013458]","[0.5014213919639587, 0.08207765221595764, -0.15094836056232452]","[0.5026097893714905, 0.23230665922164917, -0.11673453450202942]","[0.5101249814033508, 0.3503333032131195, -0.15523691475391388]","[0.4903128445148468, 0.3757956326007843, 0.02997497469186783]","[0.4820759892463684, 0.5855697393417358, 0.05376124382019043]","[0.5091410279273987, 0.7904033660888672, 0.1565084010362625]","[0.44275742769241333, 0.08949275314807892, -0.10814080387353897]","[0.4288272261619568, 0.23437745869159698, -0.07038430869579315]","[0.47564807534217834, 0.35287046432495117, -0.11607717722654343]"
16:34:02.271469,"[0.49638763070106506, 0.3719727694988251, -0.029645366594195366]","[0.48271024227142334, 0.5857848525047302, -0.005752216093242168]","[0.4993991255760193, 0.7967076301574707, 0.09936127066612244]","[0.5103402733802795, 0.08208708465099335, -0.16878359019756317]","[0.511803388595581, 0.2348584681749344, -0.1345318853855133]","[0.5181917548179626, 0.3553844094276428, -0.17561760544776917]","[0.48563405871391296, 0.3757019639015198, 0.029722433537244797]","[0.4781011641025543, 0.5854121446609497, 0.053414084017276764]","[0.5072191953659058, 0.7901991009712219, 0.163237527012825]","[0.4393225908279419, 0.08961601555347443, -0.12256287038326263]","[0.4263972043991089, 0.22897469997406006, -0.08640704303979874]","[0.46783319115638733, 0.35350871086120605, -0.1344471573829651]"
16:34:02.329801,"[0.47877055406570435, 0.3751170337200165, -0.030830208212137222]","[0.4728022515773773, 0.585598349571228, -0.019755465909838676]","[0.47222864627838135, 0.7937784194946289, 0.03659103065729141]","[0.44544485211372375, 0.08211527019739151, -0.07505913823843002]","[0.43420931696891785, 0.2345133274793625, -0.07534751296043396]","[0.4371832013130188, 0.35160261392593384, -0.07197258621454239]","[0.504227340221405, 0.37914755940437317, 0.03090566024184227]","[0.49897295236587524, 0.5841233134269714, 0.06364686787128448]","[0.5170755982398987, 0.7902119159698486, 0.14138559997081757]","[0.5111895203590393, 0.09082463383674622, -0.029967134818434715]","[0.5125616788864136, 0.25408831238746643, -0.023829933255910873]","[0.531767725944519, 0.3579493761062622, -0.040988948196172714]"
16:34:02.389652,"[0.4803307354450226, 0.3793295919895172, -0.03314117714762688]","[0.4722205102443695, 0.5859879851341248, -0.007692829705774784]","[0.47264713048934937, 0.8037784695625305, 0.04981617256999016]","[0.43994128704071045, 0.08190415054559708, -0.09278938174247742]","[0.4348829388618469, 0.23414203524589539, -0.07940796762704849]","[0.4407411813735962, 0.35108301043510437, -0.09036502987146378]","[0.5082309246063232, 0.3830854892730713, 0.033202163875103]","[0.49846383929252625, 0.5841318368911743, 0.07981760054826736]","[0.5165860056877136, 0.7901870012283325, 0.16074243187904358]","[0.5141293406486511, 0.09232665598392487, -0.04862075299024582]","[0.5165267586708069, 0.26367902755737305, -0.033005647361278534]","[0.5392392873764038, 0.3645741045475006, -0.05817089602351189]"
16:34:02.448516,"[0.4813225567340851, 0.3746863305568695, -0.032740551978349686]","[0.4693893492221832, 0.5854359269142151, -0.028347523882985115]","[0.4632096588611603, 0.7984914779663086, 0.012174833565950394]","[0.43925973773002625, 0.08191102743148804, -0.06506378203630447]","[0.4262731969356537, 0.231990784406662, -0.060167018324136734]","[0.4378271698951721, 0.344989538192749, -0.05480632558465004]","[0.5183610916137695, 0.3819411098957062, 0.03279854357242584]","[0.5093312859535217, 0.582295835018158, 0.07232000678777695]","[0.5188015699386597, 0.7912291884422302, 0.11750670522451401]","[0.5421746969223022, 0.09223972260951996, -0.03607434034347534]","[0.5515180230140686, 0.2591140568256378, -0.03192231431603432]","[0.5450976490974426, 0.3727591931819916, -0.04623674601316452]"
