frame_time,left_hip,left_knee,left_ankle,left_shoulder,left_elbow,left_wrist,right_hip,right_knee,right_ankle,right_shoulder,right_elbow,right_wrist
16:41:02.364636,"[0.41097673773765564, 0.20593474805355072, 0.0936666950583458]","[0.2873668670654297, 0.291317880153656, -0.08119957149028778]","[0.16287946701049805, 0.41863003373146057, -0.26126012206077576]","[0.534713864326477, 0.11053290963172913, 0.4974418878555298]","[0.5242059230804443, 0.24473148584365845, 0.48361828923225403]","[0.5669782161712646, 0.3686656355857849, 0.4107961654663086]","[0.4110535979270935, 0.14268918335437775, -0.09375491738319397]","[0.2900124192237854, 0.2832362651824951, -0.2805282473564148]","[0.1613997519016266, 0.4283033013343811, -0.4355597496032715]","[0.5530738830566406, 0.023166894912719727, 0.1539277583360672]","[0.5535032749176025, 0.15996530652046204, -0.030941810458898544]","[0.5796909332275391, 0.33163803815841675, -0.050927210599184036]"
16:41:02.431431,"[0.40947720408439636, 0.20592711865901947, 0.08443641662597656]","[0.289068341255188, 0.29102739691734314, -0.04607532173395157]","[0.1625814288854599, 0.4186263978481293, -0.17259003221988678]","[0.5331770777702332, 0.1064203754067421, 0.44685181975364685]","[0.5185720920562744, 0.22859278321266174, 0.4478560984134674]","[0.520794689655304, 0.3298896849155426, 0.3966798484325409]","[0.41160067915916443, 0.1435691863298416, -0.08453692495822906]","[0.29090118408203125, 0.28231653571128845, -0.2730436623096466]","[0.16138781607151031, 0.4280845820903778, -0.4160687327384949]","[0.5562936663627625, 0.023151660338044167, 0.14970460534095764]","[0.557486355304718, 0.1497611105442047, -0.02419249527156353]","[0.5814129710197449, 0.32937556505203247, -0.05509117990732193]"
16:41:02.490658,"[0.4103473126888275, 0.20595033466815948, 0.08298265188932419]","[0.2906797528266907, 0.2909586429595947, -0.031094226986169815]","[0.1628471463918686, 0.4177566468715668, -0.13959768414497375]","[0.5343289971351624, 0.10587642341852188, 0.42423325777053833]","[0.522628128528595, 0.22772672772407532, 0.4209882915019989]","[0.5426658391952515, 0.3376910984516144, 0.35871511697769165]","[0.41073018312454224, 0.14839167892932892, -0.0830775573849678]","[0.2911054193973541, 0.28227394819259644, -0.2605958580970764]","[0.16133326292037964, 0.42493584752082825, -0.38399940729141235]","[0.5562078356742859, 0.00601023668423295, 0.13586027920246124]","[0.5573403835296631, 0.13805486261844635, -0.025319518521428108]","[0.5828123092651367, 0.3220272958278656, -0.06990841031074524]"
16:41:02.549441,"[0.40547844767570496, 0.2048342525959015, 0.07454624772071838]","[0.2919791638851166, 0.2898453176021576, -0.03264675289392471]","[0.16284894943237305, 0.4170795977115631, -0.1842987984418869]","[0.5289072394371033, 0.09635162353515625, 0.40813833475112915]","[0.5012447237968445, 0.20293821394443512, 0.39107242226600647]","[0.4913251996040344, 0.29653477668762207, 0.34693968296051025]","[0.4148496389389038, 0.1505700796842575, -0.07470910996198654]","[0.2933519780635834, 0.2823461592197418, -0.25462427735328674]","[0.16139468550682068, 0.42488884925842285, -0.3808608949184418]","[0.5602904558181763, 0.012357902713119984, 0.15285137295722961]","[0.5552718043327332, 0.14737889170646667, 0.008139308542013168]","[0.5827435255050659, 0.3307449519634247, -0.0330534465610981]"
16:41:02.608840,"[0.4046700596809387, 0.20504450798034668, 0.07726709544658661]","[0.29183530807495117, 0.28987357020378113, -0.042872942984104156]","[0.1627972424030304, 0.4193011522293091, -0.15905426442623138]","[0.5428153872489929, 0.09582937508821487, 0.4020645022392273]","[0.5237671732902527, 0.20903445780277252, 0.39236608147621155]","[0.5558317303657532, 0.3031899333000183, 0.33603551983833313]","[0.4142383933067322, 0.1486869901418686, -0.07739929109811783]","[0.2933761775493622, 0.28301358222961426, -0.2567240595817566]","[0.16152361035346985, 0.4270274043083191, -0.37411537766456604]","[0.5580466985702515, 0.01624112017452717, 0.14748506247997284]","[0.5411261320114136, 0.12429158389568329, -0.002985456259921193]","[0.5810258984565735, 0.30297836661338806, -0.06408964097499847]"
16:41:02.667555,"[0.4003871977329254, 0.20505563914775848, 0.07654625922441483]","[0.2912391126155853, 0.29012569785118103, -0.04821501672267914]","[0.1625741571187973, 0.4220874011516571, -0.18197456002235413]","[0.5295668840408325, 0.0954294353723526, 0.42447006702423096]","[0.4923524558544159, 0.2086469829082489, 0.40487414598464966]","[0.47956162691116333, 0.29512012004852295, 0.3509867489337921]","[0.41423413157463074, 0.15060876309871674, -0.07670615613460541]","[0.2928745448589325, 0.28369995951652527, -0.25729283690452576]","[0.16144819557666779, 0.4304288625717163, -0.38506752252578735]","[0.5578094124794006, 0.027584025636315346, 0.16719980537891388]","[0.5429920554161072, 0.14643706381320953, 0.02686498314142227]","[0.5813484191894531, 0.31314393877983093, -0.004241641145199537]"
16:41:02.726711,"[0.3985954821109772, 0.20099098980426788, 0.07749532908201218]","[0.2902868092060089, 0.29012981057167053, -0.021138254553079605]","[0.16182753443717957, 0.42435431480407715, -0.12547007203102112]","[0.5256972312927246, 0.08891144394874573, 0.4178529977798462]","[0.4863242506980896, 0.20129254460334778, 0.3961521089076996]","[0.46793442964553833, 0.29276424646377563, 0.34594830870628357]","[0.41466274857521057, 0.15227127075195312, -0.07761203497648239]","[0.2925504148006439, 0.28370970487594604, -0.24418701231479645]","[0.16139520704746246, 0.43446260690689087, -0.3515774607658386]","[0.5590283274650574, 0.03320328891277313, 0.15303738415241241]","[0.543757438659668, 0.1472456008195877, 0.023708198219537735]","[0.5812841653823853, 0.31882256269454956, -0.04548656940460205]"
16:41:02.786767,"[0.39927229285240173, 0.19756203889846802, 0.07765796035528183]","[0.290250688791275, 0.2898021340370178, -0.029024319723248482]","[0.16167688369750977, 0.42662912607192993, -0.14624840021133423]","[0.5234774947166443, 0.08609998971223831, 0.4262600839138031]","[0.481270432472229, 0.19461695849895477, 0.40023040771484375]","[0.45406749844551086, 0.2798008620738983, 0.3475181460380554]","[0.4169544279575348, 0.15244857966899872, -0.07782473415136337]","[0.29255548119544983, 0.2835322320461273, -0.23890617489814758]","[0.16133242845535278, 0.4359608292579651, -0.351021945476532]","[0.560453474521637, 0.03527802973985672, 0.1601180136203766]","[0.5457528233528137, 0.15090036392211914, 0.012143225409090519]","[0.581795334815979, 0.3268722593784332, -0.03829539194703102]"
16:41:02.845886,"[0.4055670499801636, 0.20226967334747314, 0.07793440669775009]","[0.2907138168811798, 0.29030799865722656, -0.077239029109478]","[0.1612773835659027, 0.42649054527282715, -0.21328262984752655]","[0.5243149995803833, 0.0920192301273346, 0.42977598309516907]","[0.4879118800163269, 0.1994873732328415, 0.40867123007774353]","[0.46610748767852783, 0.27847805619239807, 0.3533676266670227]","[0.41216766834259033, 0.15615630149841309, -0.07810458540916443]","[0.292764812707901, 0.28326448798179626, -0.2627149224281311]","[0.16082659363746643, 0.4357723891735077, -0.39264217019081116]","[0.5602080225944519, 0.03452272713184357, 0.1543102264404297]","[0.5463711023330688, 0.13775329291820526, -0.012043636292219162]","[0.5817885994911194, 0.3149280548095703, -0.07332099229097366]"
16:41:02.906071,"[0.40177759528160095, 0.2002485990524292, 0.07851032167673111]","[0.28906190395355225, 0.2903372347354889, -0.022699689492583275]","[0.16118265688419342, 0.42648908495903015, -0.12509939074516296]","[0.5236325860023499, 0.07749304920434952, 0.3936246633529663]","[0.48781779408454895, 0.18597111105918884, 0.3677724003791809]","[0.4661206305027008, 0.25341537594795227, 0.30687278509140015]","[0.41527003049850464, 0.1611381620168686, -0.07867417484521866]","[0.29213762283325195, 0.28356707096099854, -0.2270973175764084]","[0.16024641692638397, 0.4356362819671631, -0.33546093106269836]","[0.5602704286575317, 0.03791411593556404, 0.13166986405849457]","[0.5466417074203491, 0.14880560338497162, -0.021090153604745865]","[0.5824493169784546, 0.3160824477672577, -0.08179736137390137]"
