frame_time,left_hip,left_knee,left_ankle,left_shoulder,left_elbow,left_wrist,right_hip,right_knee,right_ankle,right_shoulder,right_elbow,right_wrist
16:40:43.852335,"[0.591143786907196, 0.2506151497364044, -0.091402567923069]","[0.7364321947097778, 0.32197993993759155, 0.11416681110858917]","[0.8528677225112915, 0.3794536590576172, 0.3356032371520996]","[0.3419645428657532, 0.1551218032836914, -0.3455005884170532]","[0.3856838345527649, 0.435261070728302, -0.336640328168869]","[0.39419615268707275, 0.7077239155769348, -0.2945634424686432]","[0.5711397528648376, 0.22824779152870178, 0.09113279730081558]","[0.7116698026657104, 0.3250916600227356, 0.28307870030403137]","[0.8284879326820374, 0.371173620223999, 0.4878203570842743]","[0.31888192892074585, 0.11282189190387726, 0.01556388195604086]","[0.36843836307525635, 0.32715240120887756, 0.14118944108486176]","[0.3631802797317505, 0.5126567482948303, 0.16849197447299957]"
16:40:43.924456,"[0.5923070311546326, 0.2942826747894287, -0.09158103168010712]","[0.732799768447876, 0.3382361829280853, 0.14811904728412628]","[0.8497734069824219, 0.38250309228897095, 0.39521777629852295]","[0.34042108058929443, 0.1698196977376938, -0.3548562228679657]","[0.38690900802612305, 0.44978490471839905, -0.371940016746521]","[0.3936772346496582, 0.7077142596244812, -0.3491024971008301]","[0.5733343958854675, 0.22777974605560303, 0.09128770232200623]","[0.7066348195075989, 0.3096620738506317, 0.3116994798183441]","[0.8260984420776367, 0.36210763454437256, 0.5483408570289612]","[0.3188130259513855, 0.11257948726415634, 0.01268677320331335]","[0.3684263229370117, 0.3236064910888672, 0.15121552348136902]","[0.36078009009361267, 0.509665310382843, 0.18744033575057983]"
16:40:43.985066,"[0.5925459265708923, 0.30993151664733887, -0.09149473160505295]","[0.7303662896156311, 0.34058141708374023, 0.15552979707717896]","[0.8442478775978088, 0.3854333460330963, 0.4136603772640228]","[0.33762872219085693, 0.17570346593856812, -0.35142719745635986]","[0.38732728362083435, 0.4534764885902405, -0.3683834969997406]","[0.3928832411766052, 0.7082545757293701, -0.3422773480415344]","[0.5760952234268188, 0.23452623188495636, 0.09121540933847427]","[0.7061354517936707, 0.307682603597641, 0.3137742578983307]","[0.8259789347648621, 0.3600921928882599, 0.5525084733963013]","[0.3183761537075043, 0.11254291981458664, 0.015509589575231075]","[0.3690929412841797, 0.32093876600265503, 0.17247067391872406]","[0.3607485592365265, 0.4947205185890198, 0.24761024117469788]"
16:40:44.044990,"[0.5925911664962769, 0.3213719129562378, -0.0915449857711792]","[0.7296543717384338, 0.34319499135017395, 0.1465289145708084]","[0.8407529592514038, 0.38724368810653687, 0.390576034784317]","[0.3373548686504364, 0.18855158984661102, -0.3510827124118805]","[0.38935211300849915, 0.4667002856731415, -0.36768949031829834]","[0.39178434014320374, 0.7100414037704468, -0.3482652008533478]","[0.5759304165840149, 0.2449081987142563, 0.0912606418132782]","[0.7038695812225342, 0.30877017974853516, 0.3083588480949402]","[0.8259769678115845, 0.3588910698890686, 0.5354009866714478]","[0.31608107686042786, 0.11672626435756683, 0.014516402967274189]","[0.3690880835056305, 0.32054033875465393, 0.16661451756954193]","[0.35995060205459595, 0.4958285987377167, 0.23029057681560516]"
16:40:44.104169,"[0.5900779962539673, 0.3219953179359436, -0.09191632270812988]","[0.7283654808998108, 0.34371957182884216, 0.14230379462242126]","[0.8362349271774292, 0.38711050152778625, 0.38531842827796936]","[0.33799847960472107, 0.18913529813289642, -0.3607042729854584]","[0.39306604862213135, 0.4653211832046509, -0.39457425475120544]","[0.391796737909317, 0.7119549512863159, -0.3936816155910492]","[0.5720268487930298, 0.26295363903045654, 0.0915985107421875]","[0.7012310028076172, 0.3120785355567932, 0.3055661916732788]","[0.8245798945426941, 0.3592900335788727, 0.5289548635482788]","[0.31277036666870117, 0.1302187293767929, -0.004150735680013895]","[0.36884787678718567, 0.3240673840045929, 0.14139622449874878]","[0.3589588403701782, 0.49750247597694397, 0.1823226511478424]"
16:40:44.163337,"[0.5814124941825867, 0.32135361433029175, -0.09234619140625]","[0.7252367734909058, 0.3458290994167328, 0.12243008613586426]","[0.835007905960083, 0.3864734172821045, 0.3484107553958893]","[0.3368017375469208, 0.1893264204263687, -0.359048992395401]","[0.3928760886192322, 0.46336352825164795, -0.3943725526332855]","[0.3920728266239166, 0.713470995426178, -0.38030603528022766]","[0.564565896987915, 0.2730957269668579, 0.09200510382652283]","[0.6991530656814575, 0.32557374238967896, 0.2918674051761627]","[0.8239614963531494, 0.35954949259757996, 0.4890366792678833]","[0.30721980333328247, 0.13437718152999878, -0.004016295075416565]","[0.36869409680366516, 0.330607533454895, 0.11987216025590897]","[0.355684757232666, 0.5261848568916321, 0.14201737940311432]"
16:40:44.222063,"[0.5759345889091492, 0.3252328336238861, -0.0943426787853241]","[0.7243759036064148, 0.3463210165500641, 0.11689504235982895]","[0.8360484838485718, 0.3834882080554962, 0.34805214405059814]","[0.3342011868953705, 0.18801595270633698, -0.3695521652698517]","[0.3906833827495575, 0.4631270468235016, -0.40641114115715027]","[0.39204156398773193, 0.7141895890235901, -0.3961988389492035]","[0.5592744946479797, 0.28718698024749756, 0.09395918995141983]","[0.6969766616821289, 0.3367651700973511, 0.2909910976886749]","[0.8241938352584839, 0.3596487045288086, 0.49359261989593506]","[0.29917722940444946, 0.1428033411502838, -0.004242671653628349]","[0.3669021427631378, 0.3425288200378418, 0.1174306869506836]","[0.3559113144874573, 0.5266934633255005, 0.13151714205741882]"
16:40:44.281497,"[0.5684078335762024, 0.3395020663738251, -0.0937393456697464]","[0.7206689715385437, 0.35703244805336, 0.11404099315404892]","[0.8362724184989929, 0.38423779606819153, 0.33562564849853516]","[0.33065176010131836, 0.19234023988246918, -0.3666367530822754]","[0.3901980221271515, 0.4615030884742737, -0.3980523645877838]","[0.39259326457977295, 0.716343343257904, -0.3930811285972595]","[0.5528357625007629, 0.30399444699287415, 0.09332108497619629]","[0.6965001821517944, 0.35072973370552063, 0.2821821868419647]","[0.8248420357704163, 0.36693909764289856, 0.48122602701187134]","[0.29606881737709045, 0.14468742907047272, -0.009549847804009914]","[0.36661747097969055, 0.34154456853866577, 0.11777020245790482]","[0.3560744524002075, 0.5261638760566711, 0.1862630546092987]"
16:40:44.340993,"[0.5639275312423706, 0.3521369695663452, -0.09378671646118164]","[0.7191705107688904, 0.3647533655166626, 0.11533108353614807]","[0.835486650466919, 0.38423827290534973, 0.33936914801597595]","[0.3270264267921448, 0.1932269185781479, -0.3659387230873108]","[0.3985653817653656, 0.44434410333633423, -0.3933221101760864]","[0.39344558119773865, 0.7146188020706177, -0.38689902424812317]","[0.5510472655296326, 0.309882789850235, 0.09337271004915237]","[0.6959520578384399, 0.35865598917007446, 0.2830061614513397]","[0.8248564600944519, 0.3690282702445984, 0.48563745617866516]","[0.29591184854507446, 0.14265000820159912, -0.008292432874441147]","[0.3664490878582001, 0.3360491991043091, 0.15495510399341583]","[0.3559650480747223, 0.5108698010444641, 0.22833411395549774]"
16:40:44.399646,"[0.5672559142112732, 0.35449063777923584, -0.09375719726085663]","[0.719895601272583, 0.37026798725128174, 0.1208399310708046]","[0.8359115123748779, 0.38464564085006714, 0.3502650260925293]","[0.3275291323661804, 0.20050597190856934, -0.3653571903705597]","[0.4100923240184784, 0.44069623947143555, -0.3901742398738861]","[0.39879944920539856, 0.7145878076553345, -0.3838680386543274]","[0.5496599674224854, 0.3178956210613251, 0.09334266930818558]","[0.6955770254135132, 0.36996105313301086, 0.28372231125831604]","[0.8231512904167175, 0.37211310863494873, 0.49439889192581177]","[0.2949322760105133, 0.14806950092315674, -0.009048503823578358]","[0.3654806911945343, 0.33787816762924194, 0.1678631603717804]","[0.3559495508670807, 0.5055679678916931, 0.24667207896709442]"
