frame_time,left_hip,left_knee,left_ankle,left_shoulder,left_elbow,left_wrist,right_hip,right_knee,right_ankle,right_shoulder,right_elbow,right_wrist
16:40:48.472529,"[0.570790708065033, 0.28322699666023254, -0.12030620127916336]","[0.7462021112442017, 0.3784943222999573, -0.07409374415874481]","[0.9204205274581909, 0.4915853440761566, -0.05754959583282471]","[0.3299206495285034, 0.15724065899848938, -0.19818075001239777]","[0.3381730914115906, 0.3671835660934448, -0.23449425399303436]","[0.32944583892822266, 0.5712343454360962, -0.12625183165073395]","[0.5887176990509033, 0.20893551409244537, 0.11986744403839111]","[0.7480973601341248, 0.3576661944389343, 0.14739398658275604]","[0.9093688726425171, 0.4538736641407013, 0.17389899492263794]","[0.3836401700973511, 0.04180014133453369, 0.2047559767961502]","[0.43132883310317993, 0.1540750414133072, 0.30258798599243164]","[0.45011579990386963, 0.3578985929489136, 0.32638904452323914]"
16:40:48.541460,"[0.569097101688385, 0.27023857831954956, -0.11121061444282532]","[0.7453283667564392, 0.3774597942829132, -0.0741577222943306]","[0.9167829155921936, 0.4922439455986023, -0.06286344677209854]","[0.3301774859428406, 0.14746719598770142, -0.18611735105514526]","[0.33870750665664673, 0.3635314106941223, -0.21267563104629517]","[0.33060070872306824, 0.5745915770530701, -0.12124919891357422]","[0.5820611119270325, 0.21125489473342896, 0.11090430617332458]","[0.748063862323761, 0.3580646514892578, 0.123504139482975]","[0.9092623591423035, 0.45427781343460083, 0.13146428763866425]","[0.3825879991054535, 0.043517787009477615, 0.18670828640460968]","[0.4355536103248596, 0.1575581282377243, 0.2774474024772644]","[0.4498206377029419, 0.35818037390708923, 0.2940729558467865]"
16:40:48.601961,"[0.570126473903656, 0.2686418890953064, -0.10755174607038498]","[0.7453145980834961, 0.3771834373474121, -0.060637831687927246]","[0.9127627015113831, 0.492380827665329, -0.033406972885131836]","[0.330405056476593, 0.1373116672039032, -0.18253754079341888]","[0.339053750038147, 0.35968467593193054, -0.19878363609313965]","[0.3313993513584137, 0.5771152973175049, -0.10045386850833893]","[0.5813714861869812, 0.21974283456802368, 0.10727601498365402]","[0.7480412721633911, 0.3596542477607727, 0.1277378350496292]","[0.9082878232002258, 0.4559626281261444, 0.14204001426696777]","[0.37866705656051636, 0.05240719020366669, 0.18931497633457184]","[0.4200975298881531, 0.2123485505580902, 0.27828729152679443]","[0.4242969751358032, 0.396819531917572, 0.31138327717781067]"
16:40:48.661242,"[0.5696284770965576, 0.2640906870365143, -0.10821651667356491]","[0.7452118992805481, 0.3766879141330719, -0.06604873389005661]","[0.9128490686416626, 0.4943219721317291, -0.051165755838155746]","[0.3302529454231262, 0.13304196298122406, -0.17182156443595886]","[0.3390757441520691, 0.35614243149757385, -0.17502547800540924]","[0.33224716782569885, 0.57706218957901, -0.05113380402326584]","[0.5793685913085938, 0.2197238951921463, 0.10792337357997894]","[0.7471210956573486, 0.36010512709617615, 0.12354503571987152]","[0.9079742431640625, 0.45757290720939636, 0.1349591761827469]","[0.3779885470867157, 0.0547143891453743, 0.20033866167068481]","[0.417532742023468, 0.21968811750411987, 0.31036779284477234]","[0.42024558782577515, 0.4074924886226654, 0.3459964990615845]"
16:40:48.719767,"[0.5696544051170349, 0.26446372270584106, -0.10696472227573395]","[0.7451498508453369, 0.37760528922080994, -0.0639028325676918]","[0.9130014181137085, 0.49600300192832947, -0.05142765864729881]","[0.33030080795288086, 0.13467922806739807, -0.16306905448436737]","[0.3393252491950989, 0.3560672104358673, -0.15320590138435364]","[0.3326997756958008, 0.5770993232727051, -0.020455339923501015]","[0.5797727108001709, 0.2195087969303131, 0.10663338005542755]","[0.7471264004707336, 0.36004191637039185, 0.12424120306968689]","[0.9080437421798706, 0.4559716284275055, 0.13868634402751923]","[0.37801089882850647, 0.05438577011227608, 0.19900664687156677]","[0.4168524742126465, 0.21770751476287842, 0.31521275639533997]","[0.418178915977478, 0.4067594110965729, 0.36772045493125916]"
16:40:48.780367,"[0.5696075558662415, 0.26683178544044495, -0.10506637394428253]","[0.745154082775116, 0.37855690717697144, -0.05867774412035942]","[0.912494957447052, 0.4964747726917267, -0.04930378124117851]","[0.3300868272781372, 0.13537277281284332, -0.1498214304447174]","[0.33942049741744995, 0.35605382919311523, -0.138729989528656]","[0.3332761526107788, 0.5776627659797668, -0.009050944820046425]","[0.5800752639770508, 0.21949583292007446, 0.10471098124980927]","[0.747300922870636, 0.36006203293800354, 0.1244937926530838]","[0.9078919291496277, 0.4558909833431244, 0.13950222730636597]","[0.3780747950077057, 0.05406467616558075, 0.20124053955078125]","[0.4169837236404419, 0.21880491077899933, 0.3280204236507416]","[0.4181983172893524, 0.4079649746417999, 0.3939903676509857]"
16:40:48.840002,"[0.5683384537696838, 0.26708120107650757, -0.10529109090566635]","[0.7452331185340881, 0.37857016921043396, -0.06014994904398918]","[0.9122666716575623, 0.49660253524780273, -0.053985774517059326]","[0.3299999237060547, 0.1363542228937149, -0.15427541732788086]","[0.3394664525985718, 0.3555850088596344, -0.14881443977355957]","[0.33355581760406494, 0.5781493186950684, -0.02042066492140293]","[0.5800777673721313, 0.21975040435791016, 0.1049358993768692]","[0.747420608997345, 0.36064717173576355, 0.12254587560892105]","[0.9078856706619263, 0.45920032262802124, 0.1342220902442932]","[0.3781681954860687, 0.053815171122550964, 0.20456646382808685]","[0.41731274127960205, 0.2174142450094223, 0.33043938875198364]","[0.42099887132644653, 0.4076997935771942, 0.38807442784309387]"
16:40:48.898373,"[0.5663503408432007, 0.26756608486175537, -0.10520587116479874]","[0.7447460889816284, 0.37876442074775696, -0.07819033414125443]","[0.9117018580436707, 0.4965896010398865, -0.08384730666875839]","[0.3299284279346466, 0.13652706146240234, -0.15799136459827423]","[0.33962899446487427, 0.35570913553237915, -0.15298081934452057]","[0.33401522040367126, 0.5803923010826111, -0.026227200403809547]","[0.5795899033546448, 0.219639852643013, 0.10485491901636124]","[0.7474231123924255, 0.3606248199939728, 0.11509578675031662]","[0.9078170657157898, 0.45951294898986816, 0.11332947760820389]","[0.3782046139240265, 0.05397642031311989, 0.20303966104984283]","[0.4170058071613312, 0.2201482355594635, 0.3262344002723694]","[0.4200199246406555, 0.4089149832725525, 0.3798527121543884]"
16:40:48.957063,"[0.5664107799530029, 0.2675551176071167, -0.10546580702066422]","[0.7452257871627808, 0.37908923625946045, -0.07775497436523438]","[0.912277340888977, 0.4975464344024658, -0.0771850124001503]","[0.32977622747421265, 0.13327589631080627, -0.16052769124507904]","[0.339424729347229, 0.35529664158821106, -0.15987823903560638]","[0.33400484919548035, 0.5813063979148865, -0.055961962789297104]","[0.5795131921768188, 0.22180543839931488, 0.10513972491025925]","[0.7481094598770142, 0.36081936955451965, 0.11762384325265884]","[0.9078666567802429, 0.4595668315887451, 0.12292580306529999]","[0.3782576620578766, 0.05729379504919052, 0.2189808487892151]","[0.4153265953063965, 0.23011352121829987, 0.33312129974365234]","[0.4203157424926758, 0.4202057421207428, 0.37312012910842896]"
16:40:49.015398,"[0.566489577293396, 0.27093905210494995, -0.10576573014259338]","[0.7454873919487, 0.3803520202636719, -0.0719042718410492]","[0.9123066067695618, 0.4989987313747406, -0.06370380520820618]","[0.32910728454589844, 0.13490474224090576, -0.16170218586921692]","[0.3392861485481262, 0.3554724156856537, -0.1607065200805664]","[0.3339971899986267, 0.5823631882667542, -0.046414513140916824]","[0.5797120332717896, 0.22270652651786804, 0.1054321750998497]","[0.7483711838722229, 0.3610973060131073, 0.1191423311829567]","[0.9079424142837524, 0.45998966693878174, 0.12392602115869522]","[0.37827742099761963, 0.05745178833603859, 0.21661385893821716]","[0.41536185145378113, 0.22813118994235992, 0.33052369952201843]","[0.4201885461807251, 0.4222669303417206, 0.37683647871017456]"
