frame_time,left_hip,left_knee,left_ankle,left_shoulder,left_elbow,left_wrist,right_hip,right_knee,right_ankle,right_shoulder,right_elbow,right_wrist
16:41:06.972617,"[0.4218795895576477, 0.2115935981273651, 0.10405264049768448]","[0.30684763193130493, 0.285025954246521, 0.2573383152484894]","[0.19400940835475922, 0.33869558572769165, 0.4220029413700104]","[0.6387178897857666, 0.1018759235739708, 0.049523282796144485]","[0.6030327081680298, 0.24728049337863922, 0.14956313371658325]","[0.6111264824867249, 0.40436357259750366, 0.1383824497461319]","[0.41012042760849, 0.22657513618469238, -0.1040535494685173]","[0.2834959626197815, 0.2825932502746582, 0.05049439147114754]","[0.1645003855228424, 0.3521662950515747, 0.21555128693580627]","[0.6330495476722717, 0.12516848742961884, -0.3066882789134979]","[0.6099966168403625, 0.3569720983505249, -0.33049628138542175]","[0.6115996241569519, 0.5876671075820923, -0.2735958397388458]"
16:41:07.039612,"[0.4204384684562683, 0.21495603024959564, 0.10565932840108871]","[0.3062843084335327, 0.282608300447464, 0.28317880630493164]","[0.19601306319236755, 0.3342745304107666, 0.4461193084716797]","[0.6445627808570862, 0.10954232513904572, 0.045758917927742004]","[0.601852536201477, 0.23644161224365234, 0.1712617427110672]","[0.6129564046859741, 0.3479521870613098, 0.19406522810459137]","[0.40840137004852295, 0.2306237518787384, -0.10568512976169586]","[0.28349605202674866, 0.2846375107765198, 0.061987392604351044]","[0.16328778862953186, 0.35173335671424866, 0.21909306943416595]","[0.6321504712104797, 0.11784826964139938, -0.3075408339500427]","[0.6067571043968201, 0.3556669354438782, -0.33805954456329346]","[0.6116587519645691, 0.5875730514526367, -0.2974388003349304]"
16:41:07.101324,"[0.4197911024093628, 0.21510206162929535, 0.10564178973436356]","[0.30507275462150574, 0.280049592256546, 0.2856423556804657]","[0.19641505181789398, 0.3313685357570648, 0.44553452730178833]","[0.6463655829429626, 0.10918906331062317, 0.030946334823966026]","[0.603056788444519, 0.23170949518680573, 0.16852976381778717]","[0.6195240616798401, 0.33629298210144043, 0.20328696072101593]","[0.407227098941803, 0.24033381044864655, -0.10566842555999756]","[0.28321129083633423, 0.28616347908973694, 0.0728975161910057]","[0.1630597710609436, 0.3515819013118744, 0.2277795523405075]","[0.6314983367919922, 0.12055835127830505, -0.30952268838882446]","[0.6008867621421814, 0.3567814528942108, -0.33921003341674805]","[0.6115665435791016, 0.590846061706543, -0.29729118943214417]"
16:41:07.160736,"[0.4193468689918518, 0.21813251078128815, 0.10499665886163712]","[0.3045974373817444, 0.27983492612838745, 0.29555702209472656]","[0.19648483395576477, 0.33116236329078674, 0.462470144033432]","[0.6484692096710205, 0.10966150462627411, 0.018595928326249123]","[0.6011274456977844, 0.2321067601442337, 0.16163678467273712]","[0.6197680830955505, 0.3517201542854309, 0.18426944315433502]","[0.405466765165329, 0.24388554692268372, -0.10503627359867096]","[0.28346118330955505, 0.2913143038749695, 0.08753729611635208]","[0.16372211277484894, 0.3588573932647705, 0.25589558482170105]","[0.6290460824966431, 0.1215411126613617, -0.3154546916484833]","[0.5963806509971619, 0.3604204058647156, -0.33859503269195557]","[0.6109599471092224, 0.5906208753585815, -0.2959757447242737]"
16:41:07.256066,"[0.4191713333129883, 0.216691255569458, 0.10492262989282608]","[0.30293840169906616, 0.279872864484787, 0.2823586165904999]","[0.19235701858997345, 0.3315228521823883, 0.42630329728126526]","[0.6500363945960999, 0.10935533791780472, 0.024266527965664864]","[0.6036365628242493, 0.23289531469345093, 0.1557161659002304]","[0.6219440698623657, 0.3689722716808319, 0.17947010695934296]","[0.4055926203727722, 0.24804504215717316, -0.10497107356786728]","[0.2834596335887909, 0.2967377007007599, 0.0823872908949852]","[0.16268953680992126, 0.3640834391117096, 0.22614020109176636]","[0.6292259097099304, 0.12730108201503754, -0.30749422311782837]","[0.5957797169685364, 0.36044782400131226, -0.3271794617176056]","[0.6110913157463074, 0.5926594138145447, -0.2846668064594269]"
16:41:07.314235,"[0.41874024271965027, 0.2160252332687378, 0.10492058843374252]","[0.3022134602069855, 0.2800191640853882, 0.29019981622695923]","[0.19082967936992645, 0.3316096365451813, 0.44812554121017456]","[0.6512223482131958, 0.10858844220638275, 0.022501030936837196]","[0.6042536497116089, 0.23327787220478058, 0.1467084139585495]","[0.6229247450828552, 0.36351197957992554, 0.15782736241817474]","[0.40469634532928467, 0.25244033336639404, -0.1049693375825882]","[0.2831561863422394, 0.30321547389030457, 0.0831288993358612]","[0.16160078346729279, 0.3685283362865448, 0.24299639463424683]","[0.6308359503746033, 0.1299913376569748, -0.31026846170425415]","[0.5966987609863281, 0.36367267370224, -0.3277795612812042]","[0.6111107468605042, 0.5926606059074402, -0.286491334438324]"
16:41:07.372564,"[0.4187392592430115, 0.22154152393341064, 0.1062883660197258]","[0.3021092414855957, 0.28064045310020447, 0.30275362730026245]","[0.1908268928527832, 0.33101239800453186, 0.47175920009613037]","[0.6544517278671265, 0.11063149571418762, 0.02448548749089241]","[0.6052926778793335, 0.2354649007320404, 0.15401670336723328]","[0.6237642168998718, 0.359109491109848, 0.1659536063671112]","[0.40462788939476013, 0.25309234857559204, -0.10634207725524902]","[0.28315988183021545, 0.3029787838459015, 0.08777976036071777]","[0.16125141084194183, 0.3683956265449524, 0.2597642242908478]","[0.6337211728096008, 0.12989377975463867, -0.3167993426322937]","[0.5968481302261353, 0.3628033995628357, -0.333457887172699]","[0.6112395524978638, 0.5926002860069275, -0.29349789023399353]"
16:41:07.431834,"[0.4187512695789337, 0.22713875770568848, 0.10765299946069717]","[0.30347830057144165, 0.283746600151062, 0.3114238679409027]","[0.19252213835716248, 0.33236292004585266, 0.491396427154541]","[0.6556203365325928, 0.11533214896917343, 0.02463230863213539]","[0.6048122644424438, 0.2393115907907486, 0.15452457964420319]","[0.6233493089675903, 0.3605533242225647, 0.16557224094867706]","[0.40470585227012634, 0.2525046765804291, -0.10772476345300674]","[0.28360238671302795, 0.30220454931259155, 0.09284791350364685]","[0.1612788587808609, 0.36740636825561523, 0.26907840371131897]","[0.6354348659515381, 0.12981759011745453, -0.31678372621536255]","[0.5973098278045654, 0.363049179315567, -0.3338649868965149]","[0.6112766265869141, 0.5923376679420471, -0.29220086336135864]"
16:41:07.490745,"[0.41908231377601624, 0.2344782054424286, 0.1074943020939827]","[0.30485641956329346, 0.28606170415878296, 0.30784720182418823]","[0.19553637504577637, 0.33532825112342834, 0.4902457892894745]","[0.6561911702156067, 0.12066357582807541, 0.017378825694322586]","[0.6047387719154358, 0.2457282990217209, 0.1367381364107132]","[0.6229479312896729, 0.3688684105873108, 0.12271786481142044]","[0.4050702154636383, 0.2518271505832672, -0.10757622867822647]","[0.28379493951797485, 0.30157917737960815, 0.09665659070014954]","[0.16275615990161896, 0.36678075790405273, 0.2778293788433075]","[0.6362096071243286, 0.1269281506538391, -0.32188406586647034]","[0.5973803400993347, 0.36388182640075684, -0.33901989459991455]","[0.6116662621498108, 0.592628538608551, -0.2958604693412781]"
16:41:07.551426,"[0.4190436601638794, 0.2502962350845337, 0.10745274275541306]","[0.30436819791793823, 0.28828495740890503, 0.31474918127059937]","[0.1961781084537506, 0.337541401386261, 0.5061929225921631]","[0.656610369682312, 0.13300547003746033, 0.019373394548892975]","[0.6039116978645325, 0.24960806965827942, 0.1416274458169937]","[0.6169118285179138, 0.3805212378501892, 0.12959440052509308]","[0.405089795589447, 0.2510351240634918, -0.10753236711025238]","[0.2831589877605438, 0.2990476191043854, 0.10188162326812744]","[0.16327637434005737, 0.3662930130958557, 0.2925328016281128]","[0.6361361145973206, 0.12577751278877258, -0.3298594057559967]","[0.5977012515068054, 0.3677121102809906, -0.3457708954811096]","[0.6117541790008545, 0.5948417782783508, -0.30640313029289246]"
