frame_time,left_hip,left_knee,left_ankle,left_shoulder,left_elbow,left_wrist,right_hip,right_knee,right_ankle,right_shoulder,right_elbow,right_wrist
16:40:53.092158,"[0.4848752021789551, 0.19650804996490479, -0.09706823527812958]","[0.6068646311759949, 0.3917536735534668, -0.21457360684871674]","[0.7581530809402466, 0.5478463172912598, -0.33326631784439087]","[0.32919520139694214, 0.11003939807415009, 0.16301590204238892]","[0.32850953936576843, 0.27197057008743286, 0.11718784272670746]","[0.32345888018608093, 0.42165321111679077, 0.1814718097448349]","[0.5195308923721313, 0.18663020431995392, 0.09650464355945587]","[0.6344250440597534, 0.33736518025398254, -0.012828517705202103]","[0.768941342830658, 0.5560997724533081, -0.11755706369876862]","[0.3914162814617157, 0.027787387371063232, 0.42643216252326965]","[0.44108492136001587, 0.1585283875465393, 0.40188339352607727]","[0.4784834086894989, 0.3248293399810791, 0.34227433800697327]"
16:40:53.161398,"[0.4849952459335327, 0.21765320003032684, -0.09979978203773499]","[0.6109377145767212, 0.37578529119491577, -0.21626539528369904]","[0.756131112575531, 0.5478695631027222, -0.3757576644420624]","[0.3290363848209381, 0.10933995991945267, 0.11208641529083252]","[0.33067405223846436, 0.2684860825538635, 0.05359024181962013]","[0.3251707851886749, 0.4204443097114563, 0.1110309585928917]","[0.5195422768592834, 0.1866256147623062, 0.09941334277391434]","[0.6367072463035583, 0.3382634222507477, -0.04881579056382179]","[0.7702972292900085, 0.5543341636657715, -0.20655088126659393]","[0.3910488784313202, 0.03417886048555374, 0.43148937821388245]","[0.4406639635562897, 0.16019262373447418, 0.5066552758216858]","[0.46940872073173523, 0.33036139607429504, 0.577059805393219]"
16:40:53.219900,"[0.48295459151268005, 0.2274336814880371, -0.1025526151061058]","[0.61139315366745, 0.37633007764816284, -0.21446804702281952]","[0.7545735836029053, 0.5491746068000793, -0.38030439615249634]","[0.32884088158607483, 0.10986321419477463, 0.11498646438121796]","[0.3310052156448364, 0.26850032806396484, 0.073057621717453]","[0.32170751690864563, 0.42515116930007935, 0.14446242153644562]","[0.5198253989219666, 0.17308662831783295, 0.10225784033536911]","[0.63946932554245, 0.3381330668926239, -0.04362164065241814]","[0.7726707458496094, 0.5516864061355591, -0.21034367382526398]","[0.390997052192688, 0.033659677952528, 0.43931064009666443]","[0.4564688503742218, 0.13812392950057983, 0.5277526378631592]","[0.46963679790496826, 0.32863953709602356, 0.6035270690917969]"
16:40:53.278725,"[0.4815231263637543, 0.23318913578987122, -0.10023427754640579]","[0.6112338304519653, 0.37310725450515747, -0.21337611973285675]","[0.7538773417472839, 0.5491698980331421, -0.3814367651939392]","[0.3280161917209625, 0.10999418795108795, 0.10443784296512604]","[0.3312506079673767, 0.26821380853652954, 0.08102144300937653]","[0.32074275612831116, 0.4258652329444885, 0.18087005615234375]","[0.519504964351654, 0.17427930235862732, 0.09997766464948654]","[0.6394307017326355, 0.33911070227622986, -0.05852961167693138]","[0.7725662589073181, 0.5513951182365417, -0.23031900823116302]","[0.38877978920936584, 0.03343210741877556, 0.413560688495636]","[0.4593580365180969, 0.12978899478912354, 0.48756447434425354]","[0.47509533166885376, 0.30023783445358276, 0.5504431128501892]"
16:40:53.337729,"[0.4796614348888397, 0.231025829911232, -0.10281434655189514]","[0.6103819012641907, 0.37510380148887634, -0.2265525758266449]","[0.7525128722190857, 0.5514616966247559, -0.4243329167366028]","[0.32673171162605286, 0.11047877371311188, 0.11620035022497177]","[0.33121925592422485, 0.2675071358680725, 0.0844641625881195]","[0.32013222575187683, 0.42603448033332825, 0.1853751689195633]","[0.5199035406112671, 0.1688401997089386, 0.10257352143526077]","[0.6415245532989502, 0.3387828767299652, -0.05170870199799538]","[0.7734754085540771, 0.5511186122894287, -0.24497005343437195]","[0.38883087038993835, 0.03332696482539177, 0.45122048258781433]","[0.4669618010520935, 0.12769730389118195, 0.5317561626434326]","[0.4794172942638397, 0.2989201843738556, 0.5993523001670837]"
16:40:53.396817,"[0.4795723557472229, 0.23207837343215942, -0.10264568775892258]","[0.610734224319458, 0.376132607460022, -0.21964174509048462]","[0.7520583868026733, 0.5514342188835144, -0.3982633650302887]","[0.32691463828086853, 0.11340194195508957, 0.13765065371990204]","[0.33184558153152466, 0.26654282212257385, 0.08669339865446091]","[0.31866535544395447, 0.4259914755821228, 0.1617838740348816]","[0.5199195146560669, 0.16530658304691315, 0.10238315165042877]","[0.6412922143936157, 0.33941274881362915, -0.05925701931118965]","[0.7732155919075012, 0.5500145554542542, -0.2326512187719345]","[0.38794079422950745, 0.03330959752202034, 0.4555440843105316]","[0.46834129095077515, 0.12371601164340973, 0.519045889377594]","[0.4823691248893738, 0.2957434356212616, 0.5903237462043762]"
16:40:53.456277,"[0.4798392653465271, 0.22942517697811127, -0.10317519307136536]","[0.6142435669898987, 0.372784823179245, -0.21974745392799377]","[0.7538760900497437, 0.5511174201965332, -0.38953065872192383]","[0.3273814916610718, 0.11096114665269852, 0.11673211306333542]","[0.3339487314224243, 0.2623087465763092, 0.06190754845738411]","[0.3186366856098175, 0.4217429459095001, 0.11785813421010971]","[0.5185737013816833, 0.16934606432914734, 0.10292141884565353]","[0.6394350528717041, 0.3468296527862549, -0.05655359849333763]","[0.771460235118866, 0.5503765940666199, -0.22849847376346588]","[0.3885365128517151, 0.03832064941525459, 0.44947224855422974]","[0.4526655972003937, 0.15830297768115997, 0.49972546100616455]","[0.4789276421070099, 0.32601553201675415, 0.5361055731773376]"
16:40:53.515678,"[0.47875702381134033, 0.23265057802200317, -0.1024385467171669]","[0.6139423847198486, 0.3746320903301239, -0.20376920700073242]","[0.7518016695976257, 0.5508050322532654, -0.3880344331264496]","[0.32738417387008667, 0.11121170967817307, 0.12933750450611115]","[0.3339013457298279, 0.26295632123947144, 0.06734947860240936]","[0.3175041973590851, 0.4220992624759674, 0.13728824257850647]","[0.5185937285423279, 0.1679520308971405, 0.10222353041172028]","[0.6407843828201294, 0.3464953899383545, -0.05920393764972687]","[0.772014319896698, 0.5477060675621033, -0.24355149269104004]","[0.3885093331336975, 0.03794960305094719, 0.46103334426879883]","[0.46151259541511536, 0.1543373465538025, 0.5412346124649048]","[0.47849223017692566, 0.3252350986003876, 0.6220265030860901]"
16:40:53.574829,"[0.47903427481651306, 0.23631179332733154, -0.10236720740795135]","[0.6147139668464661, 0.3751470148563385, -0.19512909650802612]","[0.7518730163574219, 0.5507305860519409, -0.37586066126823425]","[0.3275998830795288, 0.11123223602771759, 0.09406011551618576]","[0.3337823152542114, 0.26335811614990234, 0.0513913668692112]","[0.3161659836769104, 0.42207586765289307, 0.13695135712623596]","[0.519105851650238, 0.16834817826747894, 0.1021399050951004]","[0.641201376914978, 0.3460848927497864, -0.053138572722673416]","[0.7720003724098206, 0.5463682413101196, -0.2227807343006134]","[0.38852930068969727, 0.03770681843161583, 0.4236585199832916]","[0.4637737274169922, 0.1533551812171936, 0.517357587814331]","[0.4777293801307678, 0.3255736827850342, 0.5638984441757202]"
16:40:53.633776,"[0.4790562391281128, 0.2352389544248581, -0.10260432213544846]","[0.614562451839447, 0.3755914270877838, -0.19648271799087524]","[0.751892626285553, 0.5502623915672302, -0.38119032979011536]","[0.3275603950023651, 0.11063437163829803, 0.09957057982683182]","[0.3341919183731079, 0.2632444202899933, 0.06203494220972061]","[0.3164759576320648, 0.4220646321773529, 0.15031440556049347]","[0.5187558531761169, 0.17158861458301544, 0.1023871898651123]","[0.6411433815956116, 0.3457942008972168, -0.050876956433057785]","[0.7721987366676331, 0.5452970862388611, -0.22051697969436646]","[0.38807204365730286, 0.039468321949243546, 0.42550745606422424]","[0.4646185040473938, 0.15274366736412048, 0.5218316316604614]","[0.47784408926963806, 0.32528063654899597, 0.5815274119377136]"
