frame_time,left_hip,left_knee,left_ankle,left_shoulder,left_elbow,left_wrist,right_hip,right_knee,right_ankle,right_shoulder,right_elbow,right_wrist
16:34:16.085421,"[0.5572320818901062, 0.35795533657073975, -0.12540283799171448]","[0.5421376824378967, 0.602616548538208, -0.07560711354017258]","[0.5473368763923645, 0.8304739594459534, -0.016848763450980186]","[0.5539377331733704, 0.041799187660217285, -0.23901602625846863]","[0.5637189149856567, 0.21036958694458008, -0.28245967626571655]","[0.5400218367576599, 0.31345295906066895, -0.24934415519237518]","[0.5597410798072815, 0.3627939820289612, 0.12537255883216858]","[0.5633608102798462, 0.5915877223014832, 0.1763218492269516]","[0.5748860836029053, 0.8074012398719788, 0.2604445517063141]","[0.5611719489097595, 0.06429049372673035, 0.1554025113582611]","[0.5525583624839783, 0.21688102185726166, 0.1889248490333557]","[0.5267936587333679, 0.33639901876449585, 0.12011575698852539]"
16:34:16.157128,"[0.5572799444198608, 0.3605705201625824, -0.12203320115804672]","[0.5410640835762024, 0.602527916431427, -0.09475550055503845]","[0.5474406480789185, 0.8293537497520447, -0.07593158632516861]","[0.5566163659095764, 0.04393334686756134, -0.1868009716272354]","[0.5665475130081177, 0.18232040107250214, -0.2681902050971985]","[0.54863041639328, 0.3007461130619049, -0.271396279335022]","[0.5655105710029602, 0.36606284976005554, 0.12203475832939148]","[0.5639631748199463, 0.5928753018379211, 0.13284103572368622]","[0.5749038457870483, 0.8077530860900879, 0.18043525516986847]","[0.5623329281806946, 0.06803102046251297, 0.20997528731822968]","[0.5528754591941833, 0.20628149807453156, 0.2624031603336334]","[0.526718020439148, 0.3141317665576935, 0.22272637486457825]"
16:34:16.218823,"[0.5567866563796997, 0.36430102586746216, -0.1219329908490181]","[0.5398187041282654, 0.6024988293647766, -0.10097093880176544]","[0.5472720861434937, 0.8291876316070557, -0.0861722007393837]","[0.557216227054596, 0.04563284292817116, -0.17635606229305267]","[0.5675143003463745, 0.17775055766105652, -0.2663625478744507]","[0.5494785904884338, 0.2956179976463318, -0.28271523118019104]","[0.5727377533912659, 0.3698887825012207, 0.12192890793085098]","[0.5663389563560486, 0.5941407084465027, 0.13427476584911346]","[0.577014148235321, 0.8077057600021362, 0.18033267557621002]","[0.5700838565826416, 0.07548979669809341, 0.22156983613967896]","[0.5660219192504883, 0.215360626578331, 0.2640664875507355]","[0.5342572927474976, 0.3177560865879059, 0.2221352458000183]"
16:34:16.280941,"[0.5570827722549438, 0.365765780210495, -0.12197623401880264]","[0.5395254492759705, 0.602008581161499, -0.13125337660312653]","[0.5480663776397705, 0.8286855220794678, -0.1316593736410141]","[0.5590196847915649, 0.04887526482343674, -0.13880786299705505]","[0.5698330998420715, 0.1766066998243332, -0.2533891201019287]","[0.5591322779655457, 0.28235191106796265, -0.30560266971588135]","[0.5735256671905518, 0.37228602170944214, 0.12197559326887131]","[0.5681009888648987, 0.5941287279129028, 0.1197672113776207]","[0.576956570148468, 0.8096629977226257, 0.1390746682882309]","[0.5711269974708557, 0.08573417365550995, 0.2524249255657196]","[0.5678291916847229, 0.23019981384277344, 0.2893299460411072]","[0.5367951989173889, 0.33856070041656494, 0.24465112388134003]"
16:34:16.340799,"[0.5568352341651917, 0.36814382672309875, -0.12097056955099106]","[0.5386642217636108, 0.6020055413246155, -0.11524023115634918]","[0.5487760901451111, 0.8285377621650696, -0.10349002480506897]","[0.5594585537910461, 0.04983487352728844, -0.15919853746891022]","[0.5663629174232483, 0.18086861073970795, -0.2569904625415802]","[0.5585024952888489, 0.2829490303993225, -0.30343160033226013]","[0.5768672227859497, 0.37432703375816345, 0.12099651247262955]","[0.5716735124588013, 0.5941967368125916, 0.1314564347267151]","[0.5777072310447693, 0.8095881342887878, 0.17542852461338043]","[0.5762302875518799, 0.08648626506328583, 0.22853535413742065]","[0.5728725790977478, 0.2339726984500885, 0.26779496669769287]","[0.5429396033287048, 0.3409706950187683, 0.21979698538780212]"
16:34:16.400207,"[0.5574020743370056, 0.36790919303894043, -0.12109457701444626]","[0.5396899580955505, 0.5965502858161926, -0.12512625753879547]","[0.552319347858429, 0.8230652213096619, -0.12257853895425797]","[0.5608726739883423, 0.05041193589568138, -0.15440303087234497]","[0.5686894059181213, 0.18125177919864655, -0.25600501894950867]","[0.5565211176872253, 0.28606680035591125, -0.3029525578022003]","[0.5769585967063904, 0.3743656873703003, 0.12111082673072815]","[0.5728374719619751, 0.593417763710022, 0.11889330297708511]","[0.5785837173461914, 0.8067502379417419, 0.14455646276474]","[0.576375424861908, 0.09263332188129425, 0.24269886314868927]","[0.570379376411438, 0.23211506009101868, 0.28970247507095337]","[0.5367809534072876, 0.32678401470184326, 0.24677377939224243]"
16:34:16.459434,"[0.5614902377128601, 0.36879363656044006, -0.12007589638233185]","[0.5464766025543213, 0.5958890318870544, -0.12312581390142441]","[0.5555684566497803, 0.8211867213249207, -0.11784880608320236]","[0.563592255115509, 0.052866220474243164, -0.15412431955337524]","[0.5708104968070984, 0.18218372762203217, -0.25434938073158264]","[0.5556455850601196, 0.2874148190021515, -0.29683244228363037]","[0.5764017105102539, 0.37604424357414246, 0.1200886219739914]","[0.5719398260116577, 0.5934144854545593, 0.11572723090648651]","[0.5785242319107056, 0.8031536936759949, 0.1381445825099945]","[0.575188934803009, 0.09727157652378082, 0.23429057002067566]","[0.5675429105758667, 0.23942051827907562, 0.2810956537723541]","[0.5295658707618713, 0.32201239466667175, 0.23410756886005402]"
16:34:16.517359,"[0.5640818476676941, 0.368786484003067, -0.11727842688560486]","[0.5503400564193726, 0.5960822105407715, -0.11777930706739426]","[0.5570854544639587, 0.8215099573135376, -0.10520431399345398]","[0.5640333890914917, 0.05840837582945824, -0.15314461290836334]","[0.5705959796905518, 0.1928420215845108, -0.22763384878635406]","[0.5547183752059937, 0.28799909353256226, -0.2382279485464096]","[0.5758887529373169, 0.3769637644290924, 0.11727308481931686]","[0.5704546570777893, 0.5942022800445557, 0.11212289333343506]","[0.5784868597984314, 0.8030492067337036, 0.14266227185726166]","[0.5765009522438049, 0.09929347783327103, 0.22529150545597076]","[0.5665484666824341, 0.24115794897079468, 0.27003607153892517]","[0.5319674611091614, 0.33096370100975037, 0.21831291913986206]"
16:34:16.575645,"[0.5689096450805664, 0.37212398648262024, -0.1127253919839859]","[0.5630365014076233, 0.5991650223731995, -0.11501292139291763]","[0.5668647289276123, 0.8208894729614258, -0.08274438977241516]","[0.5657192468643188, 0.06823904067277908, -0.13921727240085602]","[0.5667739510536194, 0.21805813908576965, -0.1969708949327469]","[0.5542265772819519, 0.29004529118537903, -0.19979572296142578]","[0.5590339303016663, 0.3800659775733948, 0.11274891346693039]","[0.5559739470481873, 0.5953820943832397, 0.10952699184417725]","[0.5679206252098083, 0.804044246673584, 0.15542036294937134]","[0.570435643196106, 0.10166904330253601, 0.2220105677843094]","[0.5614182949066162, 0.24959932267665863, 0.2669127285480499]","[0.53199303150177, 0.34574323892593384, 0.2049637883901596]"
16:34:16.635476,"[0.5680768489837646, 0.3722200095653534, -0.11362053453922272]","[0.5596393942832947, 0.5992436408996582, -0.11443855613470078]","[0.5656682848930359, 0.820949912071228, -0.08744332939386368]","[0.5637463331222534, 0.06565844267606735, -0.15816785395145416]","[0.5662527084350586, 0.2169893980026245, -0.21213002502918243]","[0.5457394123077393, 0.29981276392936707, -0.22612623870372772]","[0.5604321956634521, 0.3802753686904907, 0.11367575824260712]","[0.5575574040412903, 0.5956428050994873, 0.11310135573148727]","[0.5692622065544128, 0.8044606447219849, 0.1619345098733902]","[0.5726870894432068, 0.09981679171323776, 0.20660899579524994]","[0.5651823282241821, 0.24599125981330872, 0.24888594448566437]","[0.5357758402824402, 0.3408598005771637, 0.19608666002750397]"
