frame_time,left_hip,left_knee,left_ankle,left_shoulder,left_elbow,left_wrist,right_hip,right_knee,right_ankle,right_shoulder,right_elbow,right_wrist
16:34:06.773453,"[0.4452337920665741, 0.36108657717704773, 0.1324554979801178]","[0.4278123676776886, 0.5878221988677979, 0.15419842302799225]","[0.4203471839427948, 0.8012491464614868, 0.2658781409263611]","[0.4344164729118347, 0.057251572608947754, 0.18778696656227112]","[0.4243151545524597, 0.20179010927677155, 0.24413776397705078]","[0.45558691024780273, 0.30802619457244873, 0.18096894025802612]","[0.41593319177627563, 0.35957789421081543, -0.1325727254152298]","[0.40025630593299866, 0.6020854711532593, -0.13067877292633057]","[0.3904202878475189, 0.8421069979667664, -0.040843665599823]","[0.3992893397808075, 0.04004523158073425, -0.227672278881073]","[0.36051109433174133, 0.15760767459869385, -0.34405791759490967]","[0.38879454135894775, 0.27835017442703247, -0.4159126579761505]"
16:34:06.851294,"[0.4452066123485565, 0.36513540148735046, 0.13294927775859833]","[0.427904337644577, 0.5879189968109131, 0.22786787152290344]","[0.41987043619155884, 0.8011966347694397, 0.3793383538722992]","[0.4340476393699646, 0.05700978636741638, 0.18547901511192322]","[0.4278510510921478, 0.20177461206912994, 0.25084996223449707]","[0.4578396677970886, 0.3032340705394745, 0.1837569922208786]","[0.4160723388195038, 0.36162903904914856, -0.13306580483913422]","[0.4003146290779114, 0.601588785648346, -0.10556980222463608]","[0.39043205976486206, 0.8439145684242249, -0.008048128336668015]","[0.3997974395751953, 0.038509301841259, -0.23557792603969574]","[0.36090701818466187, 0.15660236775875092, -0.3400565981864929]","[0.39355266094207764, 0.28000080585479736, -0.3856610059738159]"
16:34:06.915765,"[0.444381445646286, 0.3653191030025482, 0.13726051151752472]","[0.4278202950954437, 0.587874174118042, 0.22878333926200867]","[0.41930684447288513, 0.8012921214103699, 0.37510666251182556]","[0.43157660961151123, 0.05610033497214317, 0.18732765316963196]","[0.42536357045173645, 0.19726328551769257, 0.2560831606388092]","[0.457326740026474, 0.2985432744026184, 0.1837235540151596]","[0.41628962755203247, 0.3616845905780792, -0.13737140595912933]","[0.40032750368118286, 0.5992229580879211, -0.09747547656297684]","[0.39030370116233826, 0.8439664840698242, 0.010023846291005611]","[0.40143173933029175, 0.037564340978860855, -0.24349717795848846]","[0.36147773265838623, 0.15621143579483032, -0.3367208242416382]","[0.3946874737739563, 0.2822938561439514, -0.36449605226516724]"
16:34:06.977103,"[0.4443855881690979, 0.36580947041511536, 0.1369781345129013]","[0.4281994104385376, 0.5879236459732056, 0.22472530603408813]","[0.41896969079971313, 0.8014815449714661, 0.37109634280204773]","[0.4311608672142029, 0.05570105463266373, 0.18578332662582397]","[0.4281582534313202, 0.19791114330291748, 0.25525858998298645]","[0.4573845863342285, 0.2981148064136505, 0.1816830188035965]","[0.4164455235004425, 0.36196112632751465, -0.13708938658237457]","[0.40032827854156494, 0.5989044904708862, -0.09665083885192871]","[0.3901806175708771, 0.8454065918922424, 0.007679668255150318]","[0.4013914167881012, 0.036775585263967514, -0.2434651255607605]","[0.36147403717041016, 0.15519116818904877, -0.3242025673389435]","[0.3945363759994507, 0.2843985855579376, -0.3403782546520233]"
16:34:07.038706,"[0.44439417123794556, 0.36696791648864746, 0.13771852850914001]","[0.42816978693008423, 0.5880873799324036, 0.2447199672460556]","[0.4186762869358063, 0.8014748692512512, 0.4037925601005554]","[0.43083426356315613, 0.0555015467107296, 0.18178726732730865]","[0.4277960956096649, 0.19799377024173737, 0.25410225987434387]","[0.45588526129722595, 0.30694225430488586, 0.17437227070331573]","[0.41654643416404724, 0.36293938755989075, -0.13782957196235657]","[0.4001084268093109, 0.5981751084327698, -0.08874015510082245]","[0.39013969898223877, 0.8449636697769165, 0.02463684044778347]","[0.4011276662349701, 0.036613233387470245, -0.24835601449012756]","[0.3614150583744049, 0.15471145510673523, -0.3199205994606018]","[0.3943113088607788, 0.28463685512542725, -0.3201441764831543]"
16:34:07.096942,"[0.4443920850753784, 0.36694005131721497, 0.13759943842887878]","[0.42811667919158936, 0.5880919098854065, 0.2259790450334549]","[0.4188019931316376, 0.8014694452285767, 0.36874473094940186]","[0.43074095249176025, 0.055326223373413086, 0.1817336082458496]","[0.42857158184051514, 0.19783839583396912, 0.2535587251186371]","[0.455793559551239, 0.3006925582885742, 0.1690879613161087]","[0.4162929654121399, 0.3629215955734253, -0.13770633935928345]","[0.39947283267974854, 0.5972991585731506, -0.08743929862976074]","[0.39014631509780884, 0.8441525101661682, 0.026978638023138046]","[0.4005067050457001, 0.035751406103372574, -0.2474396824836731]","[0.36144983768463135, 0.15458297729492188, -0.31685689091682434]","[0.3941464126110077, 0.2853800356388092, -0.31785041093826294]"
16:34:07.155737,"[0.44388359785079956, 0.3668820858001709, 0.13746477663516998]","[0.4280383884906769, 0.5880930423736572, 0.21712644398212433]","[0.4188588261604309, 0.8017515540122986, 0.3565165102481842]","[0.430845707654953, 0.05625946819782257, 0.18575836718082428]","[0.4287114143371582, 0.19789299368858337, 0.2567853629589081]","[0.45579296350479126, 0.2987785041332245, 0.17060263454914093]","[0.41589823365211487, 0.3626982569694519, -0.13757118582725525]","[0.3987940847873688, 0.5971369743347168, -0.0937114879488945]","[0.390166312456131, 0.8441013097763062, 0.016923466697335243]","[0.40046441555023193, 0.03498277813196182, -0.24640847742557526]","[0.3611064553260803, 0.15390290319919586, -0.32071536779403687]","[0.3942018151283264, 0.2853390872478485, -0.3411514163017273]"
16:34:07.215908,"[0.4432651400566101, 0.3668593764305115, 0.13817015290260315]","[0.4277734160423279, 0.5879754424095154, 0.21874485909938812]","[0.4188636541366577, 0.8019658327102661, 0.3570743501186371]","[0.43088799715042114, 0.05663839355111122, 0.19153405725955963]","[0.4250136911869049, 0.1981406956911087, 0.2572762668132782]","[0.44723767042160034, 0.30704331398010254, 0.16838295757770538]","[0.41500434279441833, 0.3626841902732849, -0.13826781511306763]","[0.39823850989341736, 0.5971389412879944, -0.0962320938706398]","[0.3900476098060608, 0.8441096544265747, 0.009862828068435192]","[0.4003872871398926, 0.03467828035354614, -0.2435106784105301]","[0.3607996106147766, 0.15355020761489868, -0.30954083800315857]","[0.394069105386734, 0.2844353914260864, -0.3132200539112091]"
16:34:07.274298,"[0.4426038861274719, 0.3669549226760864, 0.13861224055290222]","[0.42760518193244934, 0.5881832242012024, 0.2351093292236328]","[0.4188670814037323, 0.802920401096344, 0.3887304365634918]","[0.4308300316333771, 0.05663526430726051, 0.19140402972698212]","[0.42276546359062195, 0.1981590837240219, 0.2576613426208496]","[0.4464525580406189, 0.3086002767086029, 0.1690862625837326]","[0.41501036286354065, 0.36283132433891296, -0.13870900869369507]","[0.39825472235679626, 0.5974198579788208, -0.1103057786822319]","[0.3899294435977936, 0.8448120355606079, -0.0320901982486248]","[0.4003962576389313, 0.03453650325536728, -0.2428346574306488]","[0.35986584424972534, 0.15329702198505402, -0.3116232454776764]","[0.3941381573677063, 0.28357720375061035, -0.33140653371810913]"
16:34:07.332293,"[0.44193920493125916, 0.36818447709083557, 0.14262323081493378]","[0.4274143874645233, 0.5882378816604614, 0.2665397524833679]","[0.4185381829738617, 0.8030235171318054, 0.4390393793582916]","[0.4295034408569336, 0.0563187338411808, 0.1845221072435379]","[0.4170197546482086, 0.20219005644321442, 0.245487779378891]","[0.4417726695537567, 0.32158365845680237, 0.16007719933986664]","[0.41529932618141174, 0.364038348197937, -0.1427256464958191]","[0.4000605344772339, 0.5980872511863708, -0.10622095316648483]","[0.38995736837387085, 0.8452950716018677, -0.01161099411547184]","[0.3991066515445709, 0.03448616713285446, -0.2574981153011322]","[0.3602747619152069, 0.15341722965240479, -0.35269632935523987]","[0.3940586745738983, 0.2835416793823242, -0.3944704830646515]"
