frame_time,left_hip,left_knee,left_ankle,left_shoulder,left_elbow,left_wrist,right_hip,right_knee,right_ankle,right_shoulder,right_elbow,right_wrist
16:33:51.937639,"[0.46885982155799866, 0.38265278935432434, 0.10160034149885178]","[0.47135230898857117, 0.6083482503890991, 0.15419480204582214]","[0.44678857922554016, 0.7968735694885254, 0.36577481031417847]","[0.46315643191337585, 0.07018592953681946, 0.11377470940351486]","[0.4584401249885559, 0.21634748578071594, 0.2055181860923767]","[0.4701818525791168, 0.32291844487190247, 0.1537540704011917]","[0.4198046922683716, 0.38406938314437866, -0.10155799984931946]","[0.4110255241394043, 0.6163690686225891, -0.06661879271268845]","[0.4094492793083191, 0.8392266035079956, 0.08573777973651886]","[0.39616289734840393, 0.04655599594116211, -0.20321962237358093]","[0.33056074380874634, 0.15595850348472595, -0.22861029207706451]","[0.3773701786994934, 0.2689892053604126, -0.21187347173690796]"
16:33:52.009095,"[0.46908387541770935, 0.378974050283432, 0.1000748798251152]","[0.4676571488380432, 0.5995703339576721, 0.1558784544467926]","[0.447469025850296, 0.798209547996521, 0.33890312910079956]","[0.46486184000968933, 0.0700952410697937, 0.11253748834133148]","[0.46046462655067444, 0.21271957457065582, 0.19590111076831818]","[0.47031086683273315, 0.3252038061618805, 0.11814364790916443]","[0.4198172390460968, 0.3781372904777527, -0.10004778951406479]","[0.4096512496471405, 0.6119033694267273, -0.08921293169260025]","[0.40926504135131836, 0.8385905623435974, 0.012463578954339027]","[0.3955978453159332, 0.04461950808763504, -0.1824219524860382]","[0.33076319098472595, 0.15589170157909393, -0.22145353257656097]","[0.3772728741168976, 0.26676616072654724, -0.22546075284481049]"
16:33:52.069840,"[0.4694139361381531, 0.37846869230270386, 0.09972982853651047]","[0.4656767249107361, 0.5983101725578308, 0.16626490652561188]","[0.4483068883419037, 0.7993956208229065, 0.34291261434555054]","[0.46559908986091614, 0.06888161599636078, 0.11153064668178558]","[0.4611746370792389, 0.20231087505817413, 0.1903560757637024]","[0.47041770815849304, 0.3058977723121643, 0.12182123959064484]","[0.41994601488113403, 0.3781944513320923, -0.09972035139799118]","[0.40966859459877014, 0.6110725998878479, -0.08525534719228745]","[0.40935057401657104, 0.8378725647926331, 0.040990497916936874]","[0.396078884601593, 0.04137556627392769, -0.1808050274848938]","[0.3320145606994629, 0.15526893734931946, -0.22202757000923157]","[0.3783293068408966, 0.2624562680721283, -0.2220391482114792]"
16:33:52.129040,"[0.4705243408679962, 0.37854230403900146, 0.09784531593322754]","[0.4649520218372345, 0.5967863202095032, 0.17408888041973114]","[0.44853532314300537, 0.8006985783576965, 0.3413102924823761]","[0.46687451004981995, 0.06888210773468018, 0.10894467681646347]","[0.4659361243247986, 0.20327980816364288, 0.18801374733448029]","[0.4734659492969513, 0.317010760307312, 0.11993716657161713]","[0.4202326536178589, 0.37832650542259216, -0.09782221913337708]","[0.40971383452415466, 0.6103654503822327, -0.0719558522105217]","[0.409456342458725, 0.8374897837638855, 0.049749478697776794]","[0.3958759903907776, 0.04107785224914551, -0.17997679114341736]","[0.33334270119667053, 0.15531288087368011, -0.21502560377120972]","[0.3792979419231415, 0.26247256994247437, -0.19930070638656616]"
16:33:52.191646,"[0.47205084562301636, 0.3780507445335388, 0.09992609918117523]","[0.4650707542896271, 0.5942676663398743, 0.175523042678833]","[0.44888320565223694, 0.800837516784668, 0.335008442401886]","[0.4673130214214325, 0.06690680980682373, 0.11449126899242401]","[0.46596211194992065, 0.20428888499736786, 0.1989164501428604]","[0.4772009551525116, 0.3177460730075836, 0.14215527474880219]","[0.42202919721603394, 0.3762112855911255, -0.09994208067655563]","[0.4100503921508789, 0.6068314909934998, -0.05393974110484123]","[0.4097236692905426, 0.8361614942550659, 0.08055983483791351]","[0.39735567569732666, 0.037931058555841446, -0.19571071863174438]","[0.33465301990509033, 0.15484915673732758, -0.24051295220851898]","[0.3812656104564667, 0.26340773701667786, -0.21191419661045074]"
16:33:52.254354,"[0.4737766981124878, 0.3788047134876251, 0.1033201739192009]","[0.465129017829895, 0.594463586807251, 0.19115588068962097]","[0.4489383101463318, 0.8021232485771179, 0.36097875237464905]","[0.4690919518470764, 0.06682653725147247, 0.11499950289726257]","[0.4664512276649475, 0.20491620898246765, 0.1989426463842392]","[0.47728538513183594, 0.32074737548828125, 0.1400168091058731]","[0.42341500520706177, 0.37714800238609314, -0.10337597876787186]","[0.4103159010410309, 0.6068981289863586, -0.04203566163778305]","[0.4096700847148895, 0.8362913131713867, 0.11308636516332626]","[0.3990543484687805, 0.03670700266957283, -0.21277505159378052]","[0.33727267384529114, 0.15497377514839172, -0.25369158387184143]","[0.3826811909675598, 0.2670719027519226, -0.22423461079597473]"
16:33:52.322309,"[0.47554925084114075, 0.3787391483783722, 0.10527541488409042]","[0.4651276171207428, 0.5947549343109131, 0.1859990656375885]","[0.44935521483421326, 0.8028722405433655, 0.34866252541542053]","[0.4714231491088867, 0.06597026437520981, 0.11942721903324127]","[0.4674898087978363, 0.2054077684879303, 0.20360822975635529]","[0.47898778319358826, 0.3207111954689026, 0.14222218096256256]","[0.42515796422958374, 0.3771357536315918, -0.10534866154193878]","[0.41144925355911255, 0.6071740388870239, -0.04415077716112137]","[0.40980809926986694, 0.8360339403152466, 0.10678663104772568]","[0.40012815594673157, 0.03536863997578621, -0.2159072309732437]","[0.33897581696510315, 0.1550368070602417, -0.25616517663002014]","[0.3848828375339508, 0.2723648250102997, -0.2267027497291565]"
16:33:52.388399,"[0.4763188064098358, 0.3778970539569855, 0.10721269249916077]","[0.46530261635780334, 0.5946064591407776, 0.1827555000782013]","[0.45039498805999756, 0.8029114603996277, 0.33143511414527893]","[0.47288161516189575, 0.06532799452543259, 0.12826202809810638]","[0.46958646178245544, 0.20562949776649475, 0.21208183467388153]","[0.47870635986328125, 0.31479349732398987, 0.15255676209926605]","[0.42686185240745544, 0.3759579360485077, -0.10729791969060898]","[0.4120297431945801, 0.6069786548614502, -0.047322485595941544]","[0.40988948941230774, 0.8355407118797302, 0.09895931929349899]","[0.4018220901489258, 0.035040389746427536, -0.21344725787639618]","[0.3421022593975067, 0.15573497116565704, -0.25911617279052734]","[0.3897556960582733, 0.2760297954082489, -0.23453879356384277]"
16:33:52.457185,"[0.47797778248786926, 0.37772274017333984, 0.10823918133974075]","[0.4657157361507416, 0.5946857333183289, 0.18165184557437897]","[0.45038554072380066, 0.8032559156417847, 0.32671067118644714]","[0.47433167695999146, 0.06534533202648163, 0.13643378019332886]","[0.47131291031837463, 0.2072683572769165, 0.21653586626052856]","[0.4806208610534668, 0.31431007385253906, 0.1522151529788971]","[0.4292338192462921, 0.37605684995651245, -0.1083197146654129]","[0.4142659604549408, 0.6068286299705505, -0.04906489700078964]","[0.4101085662841797, 0.8354982137680054, 0.0960543230175972]","[0.4054321348667145, 0.035182513296604156, -0.21213525533676147]","[0.3460342288017273, 0.15747837722301483, -0.26149478554725647]","[0.39434224367141724, 0.2789492607116699, -0.24761895835399628]"
16:33:52.526028,"[0.4802984297275543, 0.37758293747901917, 0.11234034597873688]","[0.46689969301223755, 0.5953913331031799, 0.1804715245962143]","[0.4499746263027191, 0.8050764203071594, 0.30745401978492737]","[0.47557365894317627, 0.06535980105400085, 0.14965976774692535]","[0.47101545333862305, 0.2094058245420456, 0.22652459144592285]","[0.48154976963996887, 0.3142501711845398, 0.15258844196796417]","[0.4364951550960541, 0.37579095363616943, -0.1124408021569252]","[0.4201644957065582, 0.6066637635231018, -0.06283567100763321]","[0.4100724160671234, 0.8364940881729126, 0.05755992978811264]","[0.40887847542762756, 0.034940414130687714, -0.2104986011981964]","[0.3533092439174652, 0.160078763961792, -0.2638591229915619]","[0.3998052477836609, 0.28458380699157715, -0.269513338804245]"
