frame_time,left_hip,left_knee,left_ankle,left_shoulder,left_elbow,left_wrist,right_hip,right_knee,right_ankle,right_shoulder,right_elbow,right_wrist
16:33:26.613213,"[0.42336639761924744, 0.4226001799106598, -0.10661458224058151]","[0.4136209487915039, 0.6673705577850342, -0.10622543841600418]","[0.41184404492378235, 0.92121422290802, -0.1260443478822708]","[0.4205670952796936, 0.06287455558776855, -0.17239929735660553]","[0.35847005248069763, 0.19201484322547913, -0.09043239802122116]","[0.37063759565353394, 0.14330998063087463, 0.09837116301059723]","[0.45842888951301575, 0.4185885787010193, 0.10649750381708145]","[0.4727327525615692, 0.6273384094238281, 0.3120006322860718]","[0.49575841426849365, 0.8222400546073914, 0.46847617626190186]","[0.47088658809661865, 0.08848288655281067, 0.09293616563081741]","[0.4593527019023895, 0.2784140110015869, 0.12431634217500687]","[0.4331066906452179, 0.4085417687892914, 0.10489556193351746]"
16:33:26.680285,"[0.42335933446884155, 0.4225744605064392, -0.12256872653961182]","[0.4135694205760956, 0.6678115129470825, -0.08253785222768784]","[0.41176795959472656, 0.9211007952690125, -0.062007687985897064]","[0.4233378469944, 0.056121572852134705, -0.2075195610523224]","[0.36676493287086487, 0.1876688301563263, -0.14807850122451782]","[0.37670475244522095, 0.14446921646595, 0.057497140020132065]","[0.45894142985343933, 0.41796186566352844, 0.1223929226398468]","[0.4720367193222046, 0.6261816620826721, 0.28850793838500977]","[0.4957268536090851, 0.8225563168525696, 0.42628470063209534]","[0.4750837981700897, 0.08794627338647842, 0.13666971027851105]","[0.4647282361984253, 0.24879086017608643, 0.22629566490650177]","[0.42305609583854675, 0.2960616648197174, 0.25552231073379517]"
16:33:26.739842,"[0.42347970604896545, 0.4189739227294922, -0.12730376422405243]","[0.4126112759113312, 0.6670847535133362, -0.0818406343460083]","[0.41166532039642334, 0.9190685749053955, -0.05869491398334503]","[0.42562541365623474, 0.0473041906952858, -0.21065695583820343]","[0.3684178590774536, 0.1878666877746582, -0.1376776397228241]","[0.3814212679862976, 0.14420166611671448, 0.06014628708362579]","[0.46168428659439087, 0.41459718346595764, 0.1271331012248993]","[0.472373366355896, 0.6247217059135437, 0.29417693614959717]","[0.495556503534317, 0.822589099407196, 0.43809452652931213]","[0.4792507588863373, 0.0843491405248642, 0.13985350728034973]","[0.4664098918437958, 0.24438762664794922, 0.21425111591815948]","[0.42428550124168396, 0.3159443438053131, 0.22164326906204224]"
16:33:26.798980,"[0.4244902431964874, 0.4152875244617462, -0.12645509839057922]","[0.41221752762794495, 0.6619580388069153, -0.07545585930347443]","[0.4115990400314331, 0.9176762104034424, -0.038094960153102875]","[0.42715996503829956, 0.04189753532409668, -0.20276027917861938]","[0.37060531973838806, 0.1892896592617035, -0.13811415433883667]","[0.38330575823783875, 0.14924171566963196, 0.04952818527817726]","[0.46577852964401245, 0.4132038354873657, 0.12629373371601105]","[0.4723753035068512, 0.6231094598770142, 0.29622194170951843]","[0.49542757868766785, 0.824221134185791, 0.43391257524490356]","[0.4849333167076111, 0.0797341912984848, 0.13643305003643036]","[0.47131815552711487, 0.2486160546541214, 0.18887265026569366]","[0.44714659452438354, 0.3198747932910919, 0.18798857927322388]"
16:33:26.858025,"[0.4310358166694641, 0.4128989279270172, -0.12750224769115448]","[0.4122444987297058, 0.6547923684120178, -0.07991700619459152]","[0.4120011031627655, 0.9172288775444031, -0.0631989911198616]","[0.4305727779865265, 0.038500480353832245, -0.19859649240970612]","[0.3735378682613373, 0.19173645973205566, -0.11509263515472412]","[0.38510558009147644, 0.15037201344966888, 0.11140991747379303]","[0.471583753824234, 0.41276273131370544, 0.12739746272563934]","[0.47448426485061646, 0.6199248433113098, 0.34441664814949036]","[0.49503716826438904, 0.8233608603477478, 0.5240672826766968]","[0.4863368570804596, 0.07813867926597595, 0.13310343027114868]","[0.4718267619609833, 0.2510566711425781, 0.19028189778327942]","[0.4443003237247467, 0.3363528549671173, 0.19686096906661987]"
16:33:26.917322,"[0.4338531196117401, 0.41301319003105164, -0.13249137997627258]","[0.4123586118221283, 0.6520979404449463, -0.07036084681749344]","[0.4117952883243561, 0.9135119318962097, -0.03505128622055054]","[0.4349941909313202, 0.038717981427907944, -0.22600311040878296]","[0.3811344802379608, 0.1971774399280548, -0.15924839675426483]","[0.38465017080307007, 0.16059626638889313, 0.05613839998841286]","[0.47630226612091064, 0.4129519760608673, 0.1323721557855606]","[0.4780038893222809, 0.6197254657745361, 0.3745545446872711]","[0.4954947531223297, 0.8230468034744263, 0.5671115517616272]","[0.48738545179367065, 0.07418562471866608, 0.13425365090370178]","[0.4721623957157135, 0.245802104473114, 0.21019946038722992]","[0.4418354332447052, 0.34811434149742126, 0.22663889825344086]"
16:33:26.975491,"[0.43789246678352356, 0.4168049395084381, -0.12982256710529327]","[0.4130975604057312, 0.6510205864906311, -0.0757400244474411]","[0.4120338261127472, 0.9103530645370483, -0.051631860435009]","[0.4404730200767517, 0.043122466653585434, -0.20969097316265106]","[0.3833618760108948, 0.20177806913852692, -0.10987012833356857]","[0.3883610963821411, 0.16415992379188538, 0.12463433295488358]","[0.48092201352119446, 0.4141762852668762, 0.12970200181007385]","[0.48099324107170105, 0.618834376335144, 0.36421501636505127]","[0.49549615383148193, 0.8226324915885925, 0.5563744306564331]","[0.48860135674476624, 0.07519223541021347, 0.13206197321414948]","[0.47296851873397827, 0.24867983162403107, 0.23779460787773132]","[0.4311324954032898, 0.34626898169517517, 0.29669010639190674]"
16:33:27.033781,"[0.4379611611366272, 0.41277971863746643, -0.12869888544082642]","[0.4145408570766449, 0.6515660881996155, -0.07036945223808289]","[0.4127102196216583, 0.9107158184051514, -0.04480021446943283]","[0.43971574306488037, 0.04147644713521004, -0.215225487947464]","[0.3852238655090332, 0.20298276841640472, -0.1692449152469635]","[0.3895603120326996, 0.1659500151872635, -0.0023923246189951897]","[0.4813561737537384, 0.4112544655799866, 0.12858562171459198]","[0.4824742376804352, 0.6186445951461792, 0.3563286364078522]","[0.4961651861667633, 0.8231526613235474, 0.5372178554534912]","[0.49065789580345154, 0.07038240134716034, 0.12921147048473358]","[0.4860483705997467, 0.2527270019054413, 0.22014948725700378]","[0.4375357925891876, 0.3502301275730133, 0.2889719009399414]"
16:33:27.091193,"[0.4369076192378998, 0.4131644666194916, -0.12800554931163788]","[0.4149535596370697, 0.6520519256591797, -0.03662074729800224]","[0.4132634699344635, 0.9105175733566284, 0.02144823782145977]","[0.438446044921875, 0.0409807525575161, -0.2128620594739914]","[0.384276419878006, 0.20295050740242004, -0.19746921956539154]","[0.39205220341682434, 0.16520510613918304, -0.0758589580655098]","[0.48097532987594604, 0.41192126274108887, 0.12782835960388184]","[0.4825386106967926, 0.6186400055885315, 0.349479079246521]","[0.49666765332221985, 0.8243808150291443, 0.524111807346344]","[0.49258896708488464, 0.07097383588552475, 0.12124646455049515]","[0.48741403222084045, 0.25929614901542664, 0.2055438905954361]","[0.4403817057609558, 0.35366854071617126, 0.25135818123817444]"
16:33:27.150572,"[0.43624237179756165, 0.4133721888065338, -0.1268761157989502]","[0.41450637578964233, 0.652249276638031, -0.05127575621008873]","[0.41326087713241577, 0.9099647402763367, -0.011736270040273666]","[0.4375562369823456, 0.0397164560854435, -0.183608740568161]","[0.38419777154922485, 0.20123225450515747, -0.1836869865655899]","[0.39081117510795593, 0.16405893862247467, -0.09111606329679489]","[0.47988319396972656, 0.41194844245910645, 0.12669871747493744]","[0.482421875, 0.6133760809898376, 0.34658512473106384]","[0.49670329689979553, 0.8242787718772888, 0.5219992399215698]","[0.4923951029777527, 0.07159606367349625, 0.12116987258195877]","[0.4847636818885803, 0.2544504404067993, 0.20020459592342377]","[0.45063135027885437, 0.35719966888427734, 0.22774432599544525]"
