frame_time,left_hip,left_knee,left_ankle,left_shoulder,left_elbow,left_wrist,right_hip,right_knee,right_ankle,right_shoulder,right_elbow,right_wrist
16:40:29.772243,"[0.4506254196166992, 0.1825966238975525, 0.09570632874965668]","[0.3392745554447174, 0.2630472779273987, 0.23190636932849884]","[0.23099729418754578, 0.3164199888706207, 0.37064293026924133]","[0.668019711971283, 0.08710621297359467, 0.07699431478977203]","[0.6351991891860962, 0.24102480709552765, 0.1757820099592209]","[0.6479590535163879, 0.38657084107398987, 0.1833595186471939]","[0.4403260350227356, 0.22319543361663818, -0.0957292839884758]","[0.3207933306694031, 0.2909291088581085, 0.044294051826000214]","[0.20157456398010254, 0.3392365574836731, 0.18563507497310638]","[0.66558837890625, 0.1166941300034523, -0.24535192549228668]","[0.6305562853813171, 0.34273675084114075, -0.25581619143486023]","[0.632197380065918, 0.5707939267158508, -0.19109389185905457]"
16:40:29.955382,"[0.4500598907470703, 0.1883855015039444, 0.09635040163993835]","[0.3387916386127472, 0.2640511393547058, 0.2608890235424042]","[0.23099827766418457, 0.31680965423583984, 0.41083794832229614]","[0.6737589240074158, 0.09253416210412979, 0.059798337519168854]","[0.6363912224769592, 0.23161283135414124, 0.18396133184432983]","[0.6515986323356628, 0.34803733229637146, 0.2224004715681076]","[0.44014400243759155, 0.2231580913066864, -0.09635499119758606]","[0.3211315870285034, 0.28929275274276733, 0.06412886083126068]","[0.2038401961326599, 0.34063011407852173, 0.22045829892158508]","[0.6656977534294128, 0.11629781126976013, -0.2685246467590332]","[0.6123381853103638, 0.3436881899833679, -0.28425267338752747]","[0.6319605112075806, 0.5578004717826843, -0.2253926694393158]"
16:40:30.027878,"[0.4500729441642761, 0.18836583197116852, 0.09720364958047867]","[0.3396812081336975, 0.2631082832813263, 0.2662305235862732]","[0.23216858506202698, 0.3140098452568054, 0.4130990207195282]","[0.6777608394622803, 0.09414485096931458, 0.0471176840364933]","[0.6409406065940857, 0.23109476268291473, 0.18212707340717316]","[0.6585433483123779, 0.3512747883796692, 0.21588382124900818]","[0.4398328363895416, 0.2238747477531433, -0.09721042960882187]","[0.32179418206214905, 0.28906989097595215, 0.06899548321962357]","[0.2045213133096695, 0.3437681496143341, 0.22180891036987305]","[0.6656600832939148, 0.11715593189001083, -0.2775435447692871]","[0.6069806218147278, 0.3456050753593445, -0.29245463013648987]","[0.6311107277870178, 0.5575538277626038, -0.23383766412734985]"
16:40:30.097091,"[0.4519318640232086, 0.1925736516714096, 0.09814421087503433]","[0.3418551981449127, 0.2630791664123535, 0.273656964302063]","[0.2364262491464615, 0.3140470087528229, 0.42773377895355225]","[0.6814048886299133, 0.09846851974725723, 0.03588269650936127]","[0.6465223431587219, 0.23001839220523834, 0.18104518949985504]","[0.6599450707435608, 0.35621556639671326, 0.21105994284152985]","[0.44074609875679016, 0.22324758768081665, -0.09817145764827728]","[0.32372987270355225, 0.287978857755661, 0.07518375664949417]","[0.20560644567012787, 0.343704491853714, 0.2345421463251114]","[0.665661096572876, 0.11720013618469238, -0.2927975058555603]","[0.6055430173873901, 0.34289175271987915, -0.3120347857475281]","[0.6312369704246521, 0.5486453175544739, -0.26079705357551575]"
16:40:30.160247,"[0.4524134695529938, 0.1950274258852005, 0.09954889118671417]","[0.34189003705978394, 0.26443323493003845, 0.2726456820964813]","[0.23620878159999847, 0.31727153062820435, 0.4232170283794403]","[0.6832016110420227, 0.10011006146669388, 0.03977864980697632]","[0.646261990070343, 0.23037782311439514, 0.18078097701072693]","[0.6604302525520325, 0.35889461636543274, 0.20867840945720673]","[0.4411059319972992, 0.2231714129447937, -0.09958288073539734]","[0.32372912764549255, 0.2872241139411926, 0.07381270080804825]","[0.20622800290584564, 0.34647807478904724, 0.22797256708145142]","[0.6658288836479187, 0.11743693798780441, -0.2899657189846039]","[0.6058658361434937, 0.3433329164981842, -0.3056977689266205]","[0.6311075687408447, 0.5506460070610046, -0.25424304604530334]"
16:40:30.218854,"[0.45294272899627686, 0.1945624053478241, 0.10044451057910919]","[0.34316354990005493, 0.26310476660728455, 0.27513787150382996]","[0.23599080741405487, 0.3166065216064453, 0.4244883954524994]","[0.6849489808082581, 0.099654421210289, 0.042123161256313324]","[0.6472190022468567, 0.23059286177158356, 0.17978157103061676]","[0.6617879867553711, 0.36021310091018677, 0.2037813812494278]","[0.44118422269821167, 0.22523200511932373, -0.1004805937409401]","[0.3235633075237274, 0.28605133295059204, 0.0741066113114357]","[0.20643575489521027, 0.3467671573162079, 0.22688338160514832]","[0.6671587228775024, 0.11746866255998611, -0.286294549703598]","[0.6187630295753479, 0.3385568857192993, -0.3031404912471771]","[0.6309478878974915, 0.5517886281013489, -0.2539730966091156]"
16:40:30.278588,"[0.4529229998588562, 0.19439193606376648, 0.1013253703713417]","[0.34304091334342957, 0.26301416754722595, 0.27394554018974304]","[0.23239131271839142, 0.3188352584838867, 0.4217987060546875]","[0.6840722560882568, 0.09949035197496414, 0.0453694649040699]","[0.6502658724784851, 0.22954262793064117, 0.18873372673988342]","[0.6709349751472473, 0.35756418108940125, 0.22860394418239594]","[0.4414628744125366, 0.22606122493743896, -0.10135182738304138]","[0.3235062062740326, 0.2848834693431854, 0.07241567224264145]","[0.20651356875896454, 0.34817031025886536, 0.22467415034770966]","[0.6682282090187073, 0.11659105122089386, -0.28459176421165466]","[0.6124609708786011, 0.34078091382980347, -0.30206671357154846]","[0.6315487623214722, 0.5519015789031982, -0.24687138199806213]"
16:40:30.339102,"[0.452353835105896, 0.19616790115833282, 0.10128394514322281]","[0.3402847349643707, 0.26334357261657715, 0.27132904529571533]","[0.22390010952949524, 0.3212641477584839, 0.41948288679122925]","[0.6839333772659302, 0.09598902612924576, 0.055224839597940445]","[0.6498991847038269, 0.22447708249092102, 0.1946522295475006]","[0.6690999269485474, 0.3326738476753235, 0.24608464539051056]","[0.4414854049682617, 0.22607217729091644, -0.10130760818719864]","[0.3234829008579254, 0.2845587432384491, 0.07109066098928452]","[0.20650844275951385, 0.3509894609451294, 0.23098982870578766]","[0.6686416268348694, 0.11581248790025711, -0.2815670669078827]","[0.6093046069145203, 0.34180736541748047, -0.29840850830078125]","[0.6316121220588684, 0.5527704358100891, -0.2361370176076889]"
16:40:30.410264,"[0.4511784613132477, 0.19641560316085815, 0.10283727198839188]","[0.3402663767337799, 0.26036712527275085, 0.29014718532562256]","[0.22599029541015625, 0.31780320405960083, 0.450690358877182]","[0.6837066411972046, 0.09571360796689987, 0.057747360318899155]","[0.6493418216705322, 0.21999742090702057, 0.22289878129959106]","[0.6737005114555359, 0.31664228439331055, 0.2932595908641815]","[0.4408974349498749, 0.22694608569145203, -0.10286085307598114]","[0.3229362368583679, 0.28343284130096436, 0.07964818924665451]","[0.2061416357755661, 0.3508315682411194, 0.24954946339130402]","[0.6686437726020813, 0.1152934655547142, -0.2815544009208679]","[0.6220811605453491, 0.33810901641845703, -0.310348778963089]","[0.6318593621253967, 0.5483450889587402, -0.25995150208473206]"
16:40:30.471187,"[0.4500376582145691, 0.19770501554012299, 0.10277281701564789]","[0.3402612805366516, 0.2596508860588074, 0.2862010598182678]","[0.22657497227191925, 0.3168325424194336, 0.44260546565055847]","[0.6831311583518982, 0.0956774428486824, 0.055790070444345474]","[0.6491905450820923, 0.21707452833652496, 0.21665914356708527]","[0.6718714833259583, 0.3113487660884857, 0.2823708653450012]","[0.4402022063732147, 0.22745630145072937, -0.10279580950737]","[0.32291480898857117, 0.2829309105873108, 0.08122076094150543]","[0.20646581053733826, 0.3506098687648773, 0.24862855672836304]","[0.6687515377998352, 0.11407161504030228, -0.2809291481971741]","[0.6245420575141907, 0.3316502869129181, -0.30846622586250305]","[0.6319078803062439, 0.5490482449531555, -0.25495025515556335]"
16:40:30.529984,"[0.4493376314640045, 0.19988030195236206, 0.10279573500156403]","[0.34022778272628784, 0.2596997618675232, 0.29333654046058655]","[0.22695569694042206, 0.3163115084171295, 0.4567117393016815]","[0.6829990148544312, 0.09710743278265, 0.05536331608891487]","[0.6431686282157898, 0.2177758663892746, 0.21605341136455536]","[0.6670119166374207, 0.32572832703590393, 0.2423235923051834]","[0.4390028715133667, 0.22744154930114746, -0.10281990468502045]","[0.3228994905948639, 0.28275540471076965, 0.08720659464597702]","[0.20642611384391785, 0.3502006530761719, 0.25393563508987427]","[0.6685992479324341, 0.11200613528490067, -0.28261566162109375]","[0.6247039437294006, 0.3271441161632538, -0.30931368470191956]","[0.632648229598999, 0.5464683771133423, -0.2563246786594391]"
16:40:30.589701,"[0.44932401180267334, 0.20342238247394562, 0.10304585099220276]","[0.34025663137435913, 0.25973406434059143, 0.29327237606048584]","[0.2270624339580536, 0.3150462806224823, 0.4575050175189972]","[0.6827015280723572, 0.09986527264118195, 0.05678572878241539]","[0.6431578993797302, 0.21839293837547302, 0.21444067358970642]","[0.6636739373207092, 0.33532604575157166, 0.23002250492572784]","[0.43895378708839417, 0.2274036407470703, -0.10307180136442184]","[0.322854220867157, 0.28272944688796997, 0.08622878044843674]","[0.20623956620693207, 0.34949925541877747, 0.25365614891052246]","[0.6685370206832886, 0.1110929399728775, -0.28189215064048767]","[0.6250463724136353, 0.3231455683708191, -0.3088751435279846]","[0.6326548457145691, 0.5403135418891907, -0.2529030740261078]"
