frame_time,left_hip,left_knee,left_ankle,left_shoulder,left_elbow,left_wrist,right_hip,right_knee,right_ankle,right_shoulder,right_elbow,right_wrist
16:33:03.297392,"[0.5098302960395813, 0.3934176564216614, -0.13315433263778687]","[0.5264416337013245, 0.6317058801651001, -0.08924538642168045]","[0.541187584400177, 0.875568151473999, -0.06148622930049896]","[0.531554639339447, 0.06386679410934448, -0.23650024831295013]","[0.4495633840560913, 0.12000107765197754, -0.33947256207466125]","[0.3677355945110321, 0.13520082831382751, -0.37685683369636536]","[0.5030285120010376, 0.39005008339881897, 0.13308416306972504]","[0.5148730874061584, 0.6078322529792786, 0.28625544905662537]","[0.5306296944618225, 0.8021921515464783, 0.46380501985549927]","[0.5199130773544312, 0.09179866313934326, 0.1975795328617096]","[0.4421122968196869, 0.15445569157600403, 0.28786927461624146]","[0.3715142011642456, 0.1644384264945984, 0.2601485848426819]"
16:33:03.365802,"[0.5148847103118896, 0.39389097690582275, -0.13240711390972137]","[0.5277248024940491, 0.6317614316940308, -0.04548262804746628]","[0.5409721732139587, 0.8768944144248962, 0.032523758709430695]","[0.5369545817375183, 0.0666317418217659, -0.2917700409889221]","[0.45727041363716125, 0.11794665455818176, -0.42668673396110535]","[0.36805474758148193, 0.13507401943206787, -0.5033540725708008]","[0.5030096173286438, 0.3903404474258423, 0.13226529955863953]","[0.5148955583572388, 0.6073258519172668, 0.29684290289878845]","[0.5285002589225769, 0.8022226691246033, 0.5002267360687256]","[0.5199012160301208, 0.0975225493311882, 0.12850020825862885]","[0.4435483515262604, 0.14692489802837372, 0.20564842224121094]","[0.3691035211086273, 0.16437232494354248, 0.15426549315452576]"
16:33:03.426085,"[0.5176340937614441, 0.3944256603717804, -0.13076680898666382]","[0.5289867520332336, 0.6317603588104248, -0.06026095151901245]","[0.5414409041404724, 0.8769422769546509, -0.006196185946464539]","[0.5423091650009155, 0.0667632594704628, -0.27811485528945923]","[0.4634939432144165, 0.11678604781627655, -0.3886139690876007]","[0.3704109489917755, 0.1346520185470581, -0.47175177931785583]","[0.5019431710243225, 0.3908182680606842, 0.13063719868659973]","[0.5146082639694214, 0.6074867248535156, 0.2859431207180023]","[0.5257769823074341, 0.8026895523071289, 0.48076289892196655]","[0.5199912190437317, 0.10126159340143204, 0.1443687081336975]","[0.44454190135002136, 0.14713522791862488, 0.22520843148231506]","[0.367655873298645, 0.16397330164909363, 0.17779573798179626]"
16:33:03.484579,"[0.5184866786003113, 0.39544257521629333, -0.12884360551834106]","[0.5290317535400391, 0.6315568685531616, -0.07466315478086472]","[0.5415981411933899, 0.8769143223762512, -0.03544163331389427]","[0.5430589318275452, 0.06942948698997498, -0.26921892166137695]","[0.4615599513053894, 0.11681162565946579, -0.3592972159385681]","[0.37023332715034485, 0.1350066363811493, -0.37885209918022156]","[0.501961350440979, 0.3925664722919464, 0.12874118983745575]","[0.5146138668060303, 0.608927845954895, 0.27242404222488403]","[0.5250324606895447, 0.8076373338699341, 0.45226824283599854]","[0.5297684073448181, 0.10926902294158936, 0.15189926326274872]","[0.44050726294517517, 0.1474985033273697, 0.22410765290260315]","[0.36639514565467834, 0.164410799741745, 0.16854733228683472]"
16:33:03.543676,"[0.5188316106796265, 0.39776310324668884, -0.12982231378555298]","[0.5291987061500549, 0.6315857768058777, -0.05814221873879433]","[0.5417646765708923, 0.8757898807525635, 0.014860927127301693]","[0.5426896810531616, 0.07007601857185364, -0.2862628698348999]","[0.4610559046268463, 0.11714056879281998, -0.36993104219436646]","[0.3693429231643677, 0.13518598675727844, -0.3831380009651184]","[0.5020543336868286, 0.39364108443260193, 0.12970484793186188]","[0.5147280693054199, 0.6111909747123718, 0.27259770035743713]","[0.5246631503105164, 0.8094543814659119, 0.4636370539665222]","[0.5346227884292603, 0.10919708013534546, 0.13753508031368256]","[0.4392354190349579, 0.14767809212207794, 0.21067611873149872]","[0.3657473027706146, 0.16422612965106964, 0.1594216227531433]"
16:33:03.602275,"[0.5191056728363037, 0.3985573351383209, -0.12989693880081177]","[0.5297151803970337, 0.6325581073760986, -0.057663433253765106]","[0.5418881177902222, 0.8757814764976501, 0.010359685868024826]","[0.5431196689605713, 0.07004117220640182, -0.3008853495121002]","[0.45849424600601196, 0.11717196553945541, -0.3758246600627899]","[0.36641550064086914, 0.13518214225769043, -0.38401874899864197]","[0.5020843744277954, 0.39361074566841125, 0.12978382408618927]","[0.5146690607070923, 0.61113041639328, 0.29588350653648376]","[0.5244767665863037, 0.8090795278549194, 0.5053811073303223]","[0.5368569493293762, 0.10828161984682083, 0.11970043182373047]","[0.43890589475631714, 0.14772455394268036, 0.1940506100654602]","[0.3644338846206665, 0.16400359570980072, 0.1478317230939865]"
16:33:03.661101,"[0.5194386839866638, 0.39950689673423767, -0.12928183376789093]","[0.5298014283180237, 0.632202684879303, -0.06976458430290222]","[0.5421287417411804, 0.8753743767738342, -0.01990118809044361]","[0.5447530150413513, 0.07023043930530548, -0.2926907241344452]","[0.4581170380115509, 0.11711917072534561, -0.36322590708732605]","[0.36646270751953125, 0.1348956823348999, -0.37629249691963196]","[0.50190669298172, 0.3943477272987366, 0.12916719913482666]","[0.5146682858467102, 0.6114023923873901, 0.27813398838043213]","[0.5234696269035339, 0.8090588450431824, 0.4632495045661926]","[0.530183732509613, 0.10788769274950027, 0.13660213351249695]","[0.43850865960121155, 0.14649978280067444, 0.21330755949020386]","[0.3644599914550781, 0.16298280656337738, 0.17018504440784454]"
16:33:03.720569,"[0.519709587097168, 0.3994399607181549, -0.12861718237400055]","[0.5297767519950867, 0.6318085789680481, -0.08871817588806152]","[0.5421079397201538, 0.8753436207771301, -0.06103402376174927]","[0.5449041128158569, 0.07004717737436295, -0.26150286197662354]","[0.4576953649520874, 0.11694633960723877, -0.3319782018661499]","[0.36647552251815796, 0.1329253613948822, -0.33833834528923035]","[0.5022487044334412, 0.3943525552749634, 0.12850944697856903]","[0.5147770047187805, 0.611615002155304, 0.2714482247829437]","[0.5235033631324768, 0.8106913566589355, 0.44464367628097534]","[0.5347774028778076, 0.10906369984149933, 0.13967666029930115]","[0.4384796917438507, 0.14664357900619507, 0.21741127967834473]","[0.36444091796875, 0.16251009702682495, 0.16893097758293152]"
16:33:03.780328,"[0.5200670957565308, 0.39999330043792725, -0.12642599642276764]","[0.529755711555481, 0.6318053603172302, -0.08773695677518845]","[0.5420844554901123, 0.8753141164779663, -0.05327320471405983]","[0.5459205508232117, 0.07426290214061737, -0.25000354647636414]","[0.45750245451927185, 0.11643525213003159, -0.3297376036643982]","[0.36649003624916077, 0.1307913362979889, -0.3417329788208008]","[0.502551794052124, 0.39534080028533936, 0.12631700932979584]","[0.5155661106109619, 0.6156250834465027, 0.24577246606349945]","[0.5239382982254028, 0.8176321387290955, 0.39963576197624207]","[0.5358243584632874, 0.11656789481639862, 0.14445923268795013]","[0.4383040964603424, 0.14717835187911987, 0.2130185216665268]","[0.36382606625556946, 0.16184401512145996, 0.15828099846839905]"
16:33:03.839809,"[0.5202487707138062, 0.4002872109413147, -0.12583285570144653]","[0.529388964176178, 0.6317439675331116, -0.0961461141705513]","[0.5420704483985901, 0.8740119934082031, -0.06991355866193771]","[0.546514630317688, 0.07617020606994629, -0.24750402569770813]","[0.4574642479419708, 0.11616639047861099, -0.32999247312545776]","[0.366512268781662, 0.12978608906269073, -0.33709225058555603]","[0.5032044053077698, 0.3961774408817291, 0.12572965025901794]","[0.5155967473983765, 0.617153525352478, 0.24907159805297852]","[0.5245268940925598, 0.8184916973114014, 0.4029797911643982]","[0.5364041924476624, 0.12012938410043716, 0.14543287456035614]","[0.4383036494255066, 0.1473340094089508, 0.2128375619649887]","[0.3636959195137024, 0.16078905761241913, 0.15884743630886078]"
